当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838315.htm	,2020.01.31	,12:00	,球会友谊	,雷瓦U19	,拉巴萨U19	,0.38	,1.17	,1.49	,89.96	, 	,01-31 04:17	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838317.htm	,2020.01.31	,14:30	,印度女联	,巴罗达女子足球学院	,康楚普女足	,0.92	,0.80	,0.94	,93.71	, 	,	,	,	,	,	,	,	,1.11	,0.88	,0.95	,95.40	, 	,01-31 14:30	,	,	,	,	,	,	,	,	,	,	,	,	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838319.htm	,2020.01.31	,16:00	,泰U19	,廊莫那浦府U19	,春武里U19	,0.88	,1.03	,0.86	,89.98	,89.98	,	,1.06	,0.77	,0.86	,89.09	,89.09	,01-31 10:12	,0.88	,1.03	,0.86	,88.61	,89.98	,	,	,	,	,	,	,	,3.60	,3.60	,3.75	,3.75	,1.73	,1.73	,0	,没有Crown	,没有Crown	,3	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838757.htm	,2020.01.31	,16:15	,澳南女杯	,西阿德莱女足	,富勒姆联女足	,0.87	,0.93	,1.05	,88.49	,88.58	,01-31 16:12	,	,	,	,	,	,	,0.87	,0.78	,0.63	,86.69	,83.43	,	,	,	,	,	,	,	,	,	,	,	,	,	,3	,两球	,两球	,3	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838776.htm	,2020.01.31	,16:25	,阿尔U19	,沙维雅U19	,费克罗恩U19	,	,	,	,	,	,	,	,	,	,	,	,	,0.85	,0.91	,1.03	,89.55	, 	,01-31 16:25	,	,	,	,	,	,	,	,	,	,	,	,	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838324.htm	,2020.01.31	,16:30	,印度乙	,米勒娃学院后备队	,拉贾斯坦邦俱乐部	,1.00	,0.94	,0.75	,89.44	, 	,01-31 06:07	,	,	,	,	,	,	,0.62	,1.21	,1.72	,91.38	, 	,01-31 16:30	,	,	,	,	,	,	,	,	,	,	,	,	,3	,没有Crown	,没有Crown	,3	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1793488.htm	,2020.01.31	,17:30	,以乙	,吉尔波亚	,扎尔法	,	,	,	,	,	,	,0.97	,0.93	,0.83	,87.69	,87.38	,	,1.24	,0.85	,0.85	,89.55	, 	,01-31 17:30	,	,	,	,	,	,	,4.75	,6.25	,3.80	,4.30	,1.50	,1.33	,0	,没有Crown	,没有Crown	,3	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838257.htm	,2020.01.31	,17:30	,以丙	,夏普尔伊罗	,埃拉特	,	,	,	,	,	,	,0.91	,0.86	,0.89	,89.04	,89.04	,	,0.56	,0.86	,1.05	,90.61	, 	,01-31 17:30	,	,	,	,	,	,	,6.50	,6.50	,5.00	,5.00	,1.30	,1.30	,0	,没有Crown	,没有Crown	,3	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838254.htm	,2020.01.31	,18:00	,球会友谊	,AFC布加勒斯特	,沃因塔特努马格勒	,	,	,	,	,	,	,	,	,	,	,	,	,0.65	,0.69	,1.49	,93.25	, 	,01-31 18:00	,	,	,	,	,	,	,	,	,	,	,	,	,0	,没有Crown	,没有Crown	,0	
http://bf.win007.com/football/Over_20200131.htm	,http://op1.win007.com/oddslist/1838236.htm	,2020.01.31	,18:00	,球会友谊	,格里夫	,维德祖罗茲	,0.26	,0.72	,1.07	,89.53	, 	,01-31 16:33	,0.25	,0.73	,1.07	,89.29	,89.04	,01-31 17:58	,0.26	,0.76	,1.11	,92.95	, 	,01-31 18:00	,	,	,	,	,	,	,7.50	,6.50	,4.60	,4.60	,1.30	,1.33	,0	,没有Crown	,没有Crown	,0	
