当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1879837.htm	,2020.07.31	,18:00	,中超	,江苏苏宁易购	,山东鲁能泰山	,0.99	,0.92	,0.86	,92.13	,92.06	,	,1.00	,0.95	,0.86	,93.29	,93.43	,07-31 17:58	,1.04	,0.97	,0.86	,89.87	,95.41	,07-31 18:00	,0.89	,0.92	,0.96	,92.13	,92.08	,	,2.25	,2.60	,3.40	,3.50	,3.00	,2.50	,1	,平手/半球	,平手	,1	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1883190.htm	,2020.07.31	,23:30	,白俄超	,斯卢萨可	,沙克迪奥	,1.06	,0.96	,0.89	,91.50	,92.06	,07-31 23:28	,0.94	,0.92	,0.92	,90.91	,92.15	,	,0.73	,0.92	,0.90	,88.10	,87.81	,	,0.92	,0.88	,0.92	,91.83	,91.05	,	,10.00	,8.00	,5.00	,4.80	,1.25	,1.33	,0	,受让球半	,受让球半	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1825831.htm	,2020.07.31	,23:30	,伊朗超	,特拉克托	,佩坎	,0.91	,0.83	,0.97	,89.51	,89.51	,	,0.95	,0.89	,0.83	,92.15	,91.80	,	,0.90	,0.86	,1.17	,89.30	,91.96	,07-31 23:30	,0.91	,0.90	,0.93	,90.87	,91.20	,	,1.53	,1.57	,3.60	,3.50	,6.50	,6.00	,1	,一球	,一球	,没有详细事件	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870364.htm	,2020.07.31	,23:59	,挪甲	,松达尔	,诺霍斯	,0.91	,0.93	,0.97	,93.24	,92.30	,	,0.92	,0.93	,1.01	,95.02	,94.06	,07-31 23:55	,0.89	,0.91	,0.95	,90.16	,90.76	,	,0.91	,0.88	,0.91	,91.23	,90.16	,	,1.75	,1.60	,4.00	,4.20	,4.33	,5.00	,3	,半球/一球	,一球	,3	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870362.htm	,2020.07.31	,23:59	,挪甲	,特罗姆瑟	,斯塔达尔斯	,0.91	,0.92	,1.04	,92.29	,93.00	,07-31 23:59	,0.94	,0.97	,0.92	,94.34	,94.42	,	,0.94	,0.89	,0.78	,91.04	,90.92	,	,0.92	,0.89	,0.86	,90.31	,90.66	,	,1.33	,1.36	,5.25	,5.25	,8.50	,7.50	,3	,球半	,一球/球半	,3	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870363.htm	,2020.07.31	,23:59	,挪甲	,UII奇萨	,汉坎	,0.95	,0.92	,0.91	,93.15	,92.99	,	,1.00	,0.94	,0.91	,94.84	,95.22	,07-31 23:59	,1.03	,0.82	,0.84	,90.77	,90.39	,07-31 23:59	,0.95	,0.89	,0.88	,91.63	,91.14	,	,2.15	,2.40	,3.75	,3.80	,3.10	,2.70	,1	,平手/半球	,平手	,3	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870360.htm	,2020.07.31	,23:59	,挪甲	,KFUM奥斯陆	,阿萨纳	,0.95	,0.92	,0.89	,92.76	,92.54	,	,0.97	,0.97	,0.89	,94.98	,94.77	,	,1.01	,0.82	,0.83	,90.46	,90.20	,07-31 23:59	,0.95	,0.88	,0.88	,91.05	,91.13	,	,1.83	,2.10	,4.00	,3.90	,3.90	,3.10	,1	,半球/一球	,平手/半球	,1	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870358.htm	,2020.07.31	,23:59	,挪甲	,兰黑姆	,康斯文格	,0.89	,0.96	,1.19	,92.18	,92.34	,07-31 23:59	,0.91	,0.95	,1.25	,95.44	,94.26	,07-31 22:09	,0.93	,0.89	,0.84	,91.01	,91.22	,	,0.91	,0.95	,0.92	,91.12	,91.61	,	,1.44	,1.25	,4.75	,5.75	,7.00	,11.50	,3	,一球/球半	,球半	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1825837.htm	,2020.08.01	,00:30	,伊朗超	,纳夫特	,沙赫坤度若	,0.92	,0.87	,0.93	,90.00	,90.60	,	,0.89	,0.90	,0.96	,92.05	,91.83	,	,0.83	,0.84	,1.00	,89.26	,88.86	,08-01 00:30	,0.92	,0.87	,0.93	,90.25	,90.60	,	,2.90	,2.88	,3.00	,2.80	,2.45	,2.60	,1	,平手	,平手	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1727179.htm	,2020.08.01	,02:30	,瑞士超	,图恩	,巴塞尔	,0.98	,0.95	,0.87	,92.20	,92.37	,	,0.98	,0.98	,0.89	,94.38	,93.90	,	,1.01	,0.79	,0.88	,89.33	,89.33	,08-01 02:30	,0.98	,0.92	,0.91	,93.22	,93.49	,	,4.20	,2.90	,4.00	,4.10	,1.75	,2.10	,1	,受让半球/一球	,受让平手/半球	,1	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1727177.htm	,2020.08.01	,02:30	,瑞士超	,锡昂	,年青人	,0.97	,0.93	,0.92	,92.28	,92.77	,	,0.93	,0.97	,0.93	,94.09	,94.09	,	,1.00	,0.95	,0.92	,92.06	,93.56	,08-01 02:30	,0.97	,0.91	,0.95	,94.33	,94.49	,	,5.75	,5.75	,4.50	,4.50	,1.50	,1.50	,0	,受让一球	,受让一球	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1727178.htm	,2020.08.01	,02:30	,瑞士超	,圣加仑	,纳沙泰尔	,0.91	,0.95	,1.01	,93.07	,92.52	,08-01 01:04	,0.91	,1.01	,1.26	,94.14	,94.81	,08-01 02:18	,0.91	,1.04	,1.01	,91.03	,93.64	,08-01 02:30	,0.94	,1.01	,1.01	,94.85	,95.24	,08-01 02:21	,1.29	,1.17	,5.50	,7.50	,9.50	,15.00	,3	,球半/两球	,两球/两球半	,3	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1870357.htm	,2020.08.01	,02:30	,挪甲	,谢夫	,利勒斯特罗姆	,0.98	,0.91	,0.91	,92.43	,92.79	,	,1.02	,0.91	,0.94	,94.98	,95.10	,08-01 02:29	,1.00	,0.86	,0.89	,90.36	,90.79	,08-01 02:30	,0.93	,0.88	,0.93	,91.01	,91.29	,	,3.90	,4.40	,4.00	,3.60	,1.83	,1.83	,1	,受让半球/一球	,受让半球/一球	,0	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1847167.htm	,2020.08.01	,02:45	,爱甲	,布雷	,科布漫步者	,0.89	,0.94	,1.01	,92.31	,92.03	,08-01 02:45	,0.95	,0.92	,1.01	,94.75	,95.17	,07-31 22:05	,0.89	,0.85	,0.85	,87.74	,87.50	,	,0.86	,0.94	,0.78	,85.98	,85.98	,	,1.62	,1.60	,4.20	,4.10	,5.00	,5.50	,1	,半球/一球	,一球	,没有详细事件	
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1847164.htm	,2020.08.01	,02:45	,爱甲	,SD戈尔韦	,卡宾迪利	,1.01	,0.91	,0.84	,91.52	,91.74	,08-01 02:45	,1.01	,0.91	,0.87	,93.84	,93.16	,08-01 02:44	,0.97	,0.89	,0.80	,87.26	,88.05	,	,0.86	,0.90	,0.98	,90.94	,90.94	,	,2.20	,2.70	,3.60	,3.30	,3.00	,2.50	,0	,平手/半球	,平手	,0	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1879836.htm	,2020.07.30	,20:00	,中超	,广州富力	,广州恒大淘宝	,0.89	,0.96	,0.91	,91.52	,91.42	,	,0.95	,0.92	,0.93	,91.67	,92.96	,	,1.02	,0.87	,0.95	,86.96	,94.31	,07-30 20:00	,0.89	,0.92	,0.94	,92.56	,93.10	,	,7.50	,7.50	,4.50	,5.25	,1.36	,1.33	,0	,受让球半	,受让球半	,0	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1876844.htm	,2020.07.31	,02:30	,挪超	,罗森博格	,维京	,0.97	,0.90	,0.92	,93.27	,93.66	,	,0.90	,1.00	,1.00	,96.00	,95.22	,07-31 02:30	,0.90	,0.90	,1.00	,90.85	,92.40	,07-31 02:30	,0.94	,0.90	,0.91	,93.07	,92.23	,	,1.44	,1.91	,4.50	,3.90	,8.00	,3.70	,3	,一球/球半	,半球	,3	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1883165.htm	,2020.07.31	,02:45	,英冠	,富勒姆	,卡迪夫城	,0.92	,0.96	,1.02	,95.37	,95.37	,07-31 02:45	,0.97	,0.96	,0.94	,93.45	,95.80	,	,0.93	,0.93	,0.91	,90.37	,92.86	,	,0.97	,0.93	,0.94	,93.08	,95.04	,	,1.95	,2.05	,3.40	,3.50	,3.80	,3.70	,0	,半球	,半球	,0	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1795950.htm	,2020.07.31	,03:00	,摩洛超	,DHJ哈斯沙尼亚	,勒內森斯	,0.83	,0.98	,0.93	,89.90	,91.85	,	,1.01	,0.92	,0.86	,91.53	,92.08	,07-31 02:58	,0.92	,0.92	,0.80	,87.75	,87.25	,	,0.92	,0.88	,0.90	,90.52	,89.65	,	,2.15	,3.50	,2.80	,2.45	,3.70	,2.55	,1	,平手/半球	,平手	,1	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1795939.htm	,2020.07.31	,05:05	,摩洛超	,拉加竞技	,兹马姆拉	,0.90	,0.92	,0.97	,89.74	,91.70	,	,0.91	,0.92	,0.93	,91.47	,91.55	,	,0.87	,0.89	,1.08	,91.00	,90.91	,07-31 05:05	,0.92	,0.89	,0.91	,90.97	,90.88	,	,1.62	,1.75	,3.40	,3.20	,5.50	,4.80	,3	,半球/一球	,半球	,3	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1885161.htm	,2020.07.31	,08:30	,巴圣锦标	,桑托斯	,庞特普雷塔	,0.91	,0.91	,1.02	,92.20	,92.99	,07-31 08:30	,0.91	,0.94	,1.06	,94.47	,94.19	,07-31 08:11	,0.89	,0.89	,1.01	,90.97	,90.71	,07-31 08:30	,0.92	,0.90	,0.97	,92.99	,92.15	,	,1.87	,1.62	,3.50	,3.60	,4.20	,6.00	,0	,半球/一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1872976.htm	,2020.07.29	,18:00	,日职乙	,福冈黄蜂	,FC爱媛	,0.89	,0.93	,1.02	,92.38	,92.33	,07-29 17:58	,0.92	,0.93	,0.97	,93.35	,93.15	,	,0.94	,0.96	,1.02	,94.79	,95.65	,07-29 18:00	,0.91	,0.89	,0.97	,91.19	,91.42	,	,2.20	,1.65	,3.10	,3.50	,3.40	,5.50	,1	,半球	,半球/一球	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1872978.htm	,2020.07.29	,18:00	,日职乙	,松本山雅	,町田泽维亚	,0.93	,0.92	,0.92	,92.89	,92.24	,	,0.99	,0.92	,0.89	,93.45	,93.43	,	,1.01	,0.92	,0.95	,95.21	,95.97	,07-29 18:00	,0.97	,0.87	,0.87	,90.40	,90.69	,	,2.25	,2.55	,3.10	,2.90	,3.30	,3.00	,0	,平手/半球	,平手	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1872979.htm	,2020.07.29	,18:00	,日职乙	,水户蜀葵	,甲府风林	,0.88	,0.97	,0.99	,92.47	,92.79	,	,0.89	,0.94	,1.02	,93.23	,93.26	,07-29 17:57	,0.90	,1.00	,1.03	,95.13	,95.51	,07-29 18:00	,0.89	,0.90	,0.96	,90.87	,91.08	,	,2.40	,1.80	,3.10	,3.50	,3.00	,4.33	,1	,平手/半球	,半球	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1882943.htm	,2020.07.29	,18:00	,韩足总	,釜山偶像	,全北现代	,0.73	,0.81	,1.01	,92.03	,91.82	,07-29 13:10	,1.00	,0.93	,0.89	,92.71	,91.39	,07-29 18:00	,0.78	,0.91	,0.94	,89.02	,91.09	,	,1.00	,0.91	,0.92	,93.34	,92.84	,07-29 17:55	,5.75	,8.00	,4.20	,4.60	,1.50	,1.33	,0	,受让一球	,受让一球/球半	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1882944.htm	,2020.07.29	,18:30	,韩足总	,蔚山现代	,江原FC	,0.87	,0.95	,1.03	,92.04	,91.40	,07-29 09:03	,0.92	,0.92	,0.90	,91.54	,91.65	,	,0.93	,0.88	,0.86	,89.62	,90.31	,	,0.95	,0.89	,0.88	,93.28	,91.94	,	,1.50	,1.62	,4.10	,3.90	,5.50	,4.60	,3	,一球/球半	,半球/一球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1852218.htm	,2020.07.29	,22:00	,罗甲	,辛迪泰哥维斯特	,塞林西尼学院	,1.01	,0.95	,0.84	,92.52	,92.78	,07-29 12:51	,0.90	,0.92	,0.99	,91.72	,93.48	,	,0.86	,0.89	,0.89	,87.24	,88.14	,	,0.90	,0.88	,0.94	,91.06	,90.69	,	,3.00	,2.50	,3.20	,3.10	,2.25	,2.88	,3	,受让平手/半球	,平手	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1876837.htm	,2020.07.29	,23:59	,挪超	,基斯迪辛特	,桑德菲杰	,0.91	,0.93	,1.05	,93.06	,93.27	,07-29 23:11	,0.94	,0.96	,0.97	,95.46	,95.13	,	,0.91	,0.93	,1.03	,89.20	,93.46	,07-29 23:59	,0.93	,0.91	,0.97	,93.38	,92.83	,	,1.57	,1.53	,4.10	,4.33	,6.00	,6.00	,3	,一球	,一球	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1879472.htm	,2020.07.30	,01:00	,瑞典甲	,佐高平斯	,松兹瓦尔	,1.02	,0.94	,0.79	,93.16	,93.05	,07-28 06:53	,0.91	,0.95	,1.00	,94.42	,94.39	,07-30 00:41	,0.91	,0.93	,0.87	,90.18	,90.57	,	,0.90	,0.90	,0.99	,92.86	,91.75	,	,2.38	,2.00	,3.40	,3.30	,2.90	,3.90	,1	,平手/半球	,半球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763767.htm	,2020.07.30	,01:30	,意甲	,维罗纳	,史帕尔	,0.92	,0.96	,1.05	,94.62	,94.67	,07-30 01:06	,0.98	,0.87	,0.97	,93.51	,95.46	,	,1.00	,0.94	,0.87	,95.82	,96.03	,07-30 01:30	,1.00	,0.92	,0.89	,94.67	,96.21	,07-30 01:28	,1.62	,1.57	,3.70	,4.10	,5.50	,6.00	,3	,半球/一球	,一球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763770.htm	,2020.07.30	,01:30	,意甲	,拉齐奥	,布雷西亚	,0.94	,0.97	,0.89	,93.89	,93.94	,	,0.96	,0.97	,0.97	,93.35	,95.83	,	,0.95	,1.06	,1.10	,92.34	,96.23	,07-30 01:30	,0.95	,0.97	,0.93	,96.28	,94.90	,	,1.15	,1.10	,7.00	,11.00	,17.00	,23.00	,3	,两球	,三球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763771.htm	,2020.07.30	,01:30	,意甲	,森索罗	,热那亚	,0.92	,0.95	,0.97	,94.30	,94.47	,	,0.95	,0.92	,1.02	,93.75	,95.90	,07-30 01:30	,0.94	,0.98	,0.99	,96.43	,96.39	,	,0.95	,0.91	,0.96	,94.39	,93.85	,	,2.50	,2.20	,3.30	,3.40	,2.75	,3.40	,3	,平手	,平手/半球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763763.htm	,2020.07.30	,01:30	,意甲	,桑普多利亚	,AC米兰	,1.04	,1.00	,0.91	,94.40	,94.34	,07-30 01:06	,1.04	,1.00	,0.93	,93.59	,95.84	,07-30 01:30	,1.00	,1.03	,0.93	,92.60	,95.93	,07-30 01:30	,1.01	,1.00	,0.94	,94.71	,96.00	,07-30 01:24	,4.40	,8.50	,3.50	,5.25	,1.80	,1.36	,0	,受让半球/一球	,受让球半	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1885776.htm	,2020.07.30	,01:45	,巴圣锦标	,费罗维亚里亚	,国际里梅拉	,0.93	,0.92	,0.94	,89.78	,92.99	,	,0.92	,0.93	,1.00	,94.13	,93.84	,07-30 01:32	,0.89	,0.86	,0.96	,89.03	,89.59	,	,0.91	,0.89	,0.96	,91.58	,91.22	,	,2.15	,1.85	,3.13	,3.25	,3.60	,4.60	,0	,半球	,半球	,0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1857961.htm	,2020.07.30	,02:00	,巴高联	,新汉堡RS	,格雷米奥	,1.07	,0.98	,0.83	,91.05	,90.64	,07-30 02:00	,1.11	,0.91	,0.89	,92.92	,93.18	,07-30 02:00	,0.70	,0.89	,0.94	,87.77	,87.18	,	,0.91	,0.88	,0.93	,90.63	,90.94	,	,7.00	,6.00	,3.75	,3.25	,1.50	,1.67	,1	,受让一球	,受让半球/一球	,没有详细事件	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1857963.htm	,2020.07.30	,02:00	,巴高联	,派瑞加RS	,塞卡西亚斯	,1.00	,0.95	,0.85	,90.87	,90.77	,07-30 02:00	,1.03	,0.95	,0.89	,85.75	,93.31	,07-29 23:11	,0.75	,0.86	,0.94	,87.42	,87.02	,	,0.89	,0.88	,0.94	,90.70	,91.15	,	,3.70	,4.50	,3.25	,3.30	,1.70	,1.83	,1	,受让半球/一球	,受让半球	,没有详细事件	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1883164.htm	,2020.07.30	,02:45	,英冠	,布伦特福德	,斯旺西	,0.95	,0.93	,0.98	,95.02	,94.91	,	,0.95	,0.98	,0.98	,93.41	,96.00	,	,0.94	,0.98	,1.04	,95.57	,96.20	,07-30 02:45	,0.92	,0.89	,0.94	,92.94	,91.69	,	,1.73	,1.57	,3.70	,4.20	,4.50	,6.00	,3	,半球/一球	,一球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1882913.htm	,2020.07.30	,03:00	,巴伯联	,累西腓体育	,维多利亚PE	,	,	,	,	,	,	,0.89	,0.87	,1.34	,91.39	,91.30	,07-30 02:57	,0.85	,0.81	,0.70	,86.61	,83.24	,	,0.91	,0.99	,1.11	,92.77	,93.92	,07-30 01:18	,1.20	,1.17	,5.75	,5.50	,11.50	,17.00	,3	,球半/两球	,球半/两球	,3	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763765.htm	,2020.07.30	,03:45	,意甲	,都灵	,罗马	,1.08	,0.95	,0.92	,94.71	,94.15	,07-30 03:10	,1.14	,1.04	,0.92	,93.55	,96.05	,07-30 03:45	,0.97	,1.02	,0.94	,92.93	,95.71	,	,1.02	,1.04	,0.94	,94.49	,96.51	,07-30 03:33	,4.40	,9.50	,3.70	,6.00	,1.75	,1.30	,0	,受让半球/一球	,受让球半/两球	,3	
