当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20200430.htm	,http://op1.win007.com/oddslist/1866870.htm	,2020.04.30	,19:00	,白俄后备	,埃涅尔格提克BGU后备队	,斯莫列维奇后备队	,0.93	,0.90	,0.86	,89.97	,89.83	,	,1.03	,0.87	,0.76	,88.98	,88.81	,04-30 18:56	,0.99	,0.95	,0.80	,90.58	,91.08	,	,	,	,	,	,	,	,1.75	,2.38	,3.75	,3.50	,3.50	,2.38	,0	,半球/一球	,平手/半球	,0	
http://bf.win007.com/football/Over_20200430.htm	,http://op1.win007.com/oddslist/1825853.htm	,2020.08.16	,00:15	,伊朗超	,特拉克托	,马奇尼沙治	,0.87	,0.95	,1.04	,89.86	,91.46	,08-16 00:03	,0.92	,0.90	,0.89	,91.48	,91.11	,	,0.88	,0.90	,0.89	,88.65	,88.65	,	,0.89	,0.90	,0.96	,91.55	,90.40	,	,1.53	,1.55	,3.50	,3.50	,6.50	,6.00	,3	,没有Crown	,没有Crown	,3	
http://bf.win007.com/football/Over_20200429.htm	,http://op1.win007.com/oddslist/1867470.htm	,2020.04.29	,16:00	,球会友谊	,甫宪	,南定	,0.88	,0.96	,0.88	,89.86	,89.60	,	,0.90	,0.93	,0.90	,90.79	,91.07	,	,1.05	,0.84	,0.88	,89.77	,90.37	,04-29 15:49	,	,	,	,	,	,	,3.13	,3.70	,3.40	,3.90	,2.05	,1.75	,0	,受让半球	,受让半球	,0	
http://bf.win007.com/football/Over_20200429.htm	,http://op1.win007.com/oddslist/1867474.htm	,2020.04.29	,20:15	,土库曼青联	,阿尔廷阿西尔青年队	,阿哈尔青年队	,0.78	,1.18	,1.72	,89.67	,88.10	,04-29 20:14	,0.92	,0.78	,0.86	,88.79	,88.98	,	,0.81	,1.18	,1.37	,89.43	,89.49	,04-29 20:15	,	,	,	,	,	,	,1.40	,1.25	,4.20	,5.25	,5.75	,7.50	,3	,一球/球半	,球半/两球	,3	
http://bf.win007.com/football/Over_20200429.htm	,http://op1.win007.com/oddslist/1867418.htm	,2020.04.30	,10:00	,尼拉甲	,马纳瓜	,法拉帝水流	,0.90	,0.93	,0.88	,89.75	,90.42	,	,0.85	,0.93	,1.02	,88.94	,89.05	,04-30 10:00	,0.90	,1.01	,0.95	,92.15	,93.41	,	,	,	,	,	,	,	,1.55	,1.44	,3.20	,3.50	,6.00	,7.00	,3	,半球/一球	,一球	,3	
http://bf.win007.com/football/Over_20200426.htm	,http://op1.win007.com/oddslist/1866616.htm	,2020.04.26	,16:00	,中台联	,台南钢铁	,台城狮子	,0.88	,0.94	,0.98	,90.00	,89.26	,	,0.90	,0.80	,0.98	,89.31	,89.30	,	,0.89	,1.13	,1.10	,90.83	,91.88	,04-26 16:00	,	,	,	,	,	,	,1.22	,1.06	,6.00	,8.50	,7.50	,17.00	,3	,三球半	,三球	,0	
http://bf.win007.com/football/Over_20200426.htm	,http://op1.win007.com/oddslist/1866618.htm	,2020.04.26	,16:00	,中台联	,航源	,台体大	,0.89	,0.88	,0.88	,89.74	,88.98	,	,0.89	,0.88	,0.94	,89.23	,89.65	,	,0.89	,0.84	,1.12	,89.42	,90.48	,04-26 16:00	,	,	,	,	,	,	,1.11	,1.25	,7.00	,5.25	,13.00	,8.00	,3	,一球/球半	,球半	,3	
http://bf.win007.com/football/Over_20200426.htm	,http://op1.win007.com/oddslist/1865757.htm	,2020.04.26	,19:30	,塔吉克联	,古赞特	,塔吉克冶铝厂	,0.77	,1.18	,1.49	,90.32	,90.01	,04-26 19:29	,0.78	,1.02	,1.26	,87.64	,87.36	,04-26 19:15	,0.77	,1.12	,1.34	,90.96	,88.28	,04-26 19:30	,	,	,	,	,	,	,1.62	,1.22	,3.50	,5.00	,4.20	,8.00	,3	,一球	,球半	,0	
http://bf.win007.com/football/Over_20200426.htm	,http://op1.win007.com/oddslist/1866920.htm	,2020.04.26	,21:00	,白俄甲	,斯韦洛戈斯克	,克鲁姆卡其	,1.03	,0.83	,0.90	,89.80	,89.71	,04-26 21:00	,0.80	,0.83	,0.91	,88.90	,88.67	,	,0.85	,0.92	,0.91	,91.48	,90.65	,	,	,	,	,	,	,	,6.00	,8.50	,4.10	,5.25	,1.40	,1.22	,0	,受让球半	,受让球半/两球	,0	
http://bf.win007.com/football/Over_20200426.htm	,http://op1.win007.com/oddslist/1867430.htm	,2020.04.26	,21:15	,白俄业余	,因斯塔特	,扎帕德	,0.83	,0.92	,1.04	,89.39	,89.39	,04-26 17:25	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,3	,没有Crown	,没有Crown	,3	
