当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1833722.htm	,2021.01.01	,03:00	,玻利甲	,瓜比拉	,皇家帕托斯	,0.91	,0.89	,1.11	,92.13	,92.02	,01-01 03:00	,0.91	,1.02	,1.11	,93.90	,93.56	,01-01 02:58	,0.88	,0.96	,0.92	,89.01	,89.23	,	,0.92	,0.92	,0.89	,92.23	,91.67	,	,1.17	,1.14	,7.50	,8.00	,13.00	,15.00	,3	,两球	,两球半	,3	
http://bf.win007.com/football/Over_20201231.htm	,http://op1.win007.com/oddslist/1833721.htm	,2021.01.01	,03:00	,玻利甲	,国民波托斯	,阿拉维准备	,1.02	,0.86	,0.90	,89.86	,91.50	,01-01 03:00	,0.97	,0.91	,0.93	,90.14	,93.29	,	,0.85	,0.82	,0.91	,87.33	,87.16	,	,	,	,	,	,	,	,4.10	,4.10	,3.75	,4.00	,1.67	,1.73	,0	,受让半球/一球	,受让半球/一球	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1961389.htm	,2020.12.30	,21:00	,突尼甲	,US泰塔温	,奥林比亚贝尔	,0.94	,0.95	,0.85	,91.34	,92.31	,	,0.88	,0.89	,1.06	,90.89	,91.58	,12-30 09:59	,0.89	,0.92	,0.85	,89.07	,89.19	,	,0.92	,0.89	,0.89	,90.62	,90.25	,	,1.87	,1.87	,2.80	,2.80	,4.80	,5.00	,1	,半球	,半球	,没有详细事件	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1960077.htm	,2020.12.30	,21:15	,伊朗超	,弗拉德	,纳萨及玛赞达兰	,0.90	,0.85	,1.08	,89.87	,91.01	,12-30 21:15	,0.89	,0.95	,0.93	,91.73	,91.56	,	,0.91	,0.88	,0.87	,89.43	,89.39	,	,0.92	,0.90	,0.97	,91.75	,91.98	,	,1.87	,1.65	,2.90	,3.13	,4.75	,6.00	,3	,半球	,半球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922087.htm	,2020.12.30	,22:00	,意乙	,波德诺内	,奥迪亚斯	,0.90	,0.92	,1.02	,94.12	,93.12	,12-30 22:00	,0.90	,0.95	,1.12	,94.96	,95.45	,12-30 21:55	,0.93	,0.95	,0.90	,93.01	,92.65	,	,0.90	,0.96	,0.98	,93.68	,93.41	,	,2.00	,1.75	,3.30	,3.50	,4.00	,5.25	,3	,半球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922088.htm	,2020.12.30	,22:00	,意乙	,雷吉纳	,克雷莫纳	,0.96	,0.93	,0.93	,93.04	,94.23	,	,0.93	,0.93	,1.00	,95.68	,94.89	,12-30 21:40	,0.93	,0.96	,0.89	,92.35	,92.76	,	,0.93	,0.93	,0.96	,93.48	,93.75	,	,2.50	,2.30	,3.10	,3.00	,3.10	,3.50	,3	,平手/半球	,平手/半球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1855729.htm	,2020.12.30	,22:00	,约超联	,阿喀巴	,阿洛顿	,0.89	,0.89	,0.92	,89.80	,89.85	,	,0.85	,0.92	,1.00	,90.92	,91.00	,12-30 21:59	,0.85	,0.95	,0.86	,88.48	,88.26	,	,0.87	,0.89	,0.96	,90.56	,90.02	,	,2.60	,2.05	,2.90	,3.00	,2.70	,3.60	,1	,平手	,平手/半球	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1922084.htm	,2020.12.30	,23:00	,意乙	,蒙扎	,萨勒尼塔纳	,0.93	,0.91	,1.00	,94.08	,93.49	,12-30 23:00	,0.93	,0.99	,1.00	,95.45	,95.50	,12-30 22:55	,0.96	,0.96	,0.78	,92.60	,92.74	,	,0.92	,0.95	,1.00	,93.46	,93.84	,12-30 22:43	,1.75	,1.62	,3.50	,3.80	,5.25	,6.00	,3	,半球/一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1878097.htm	,2020.12.30	,23:00	,苏超	,圣米伦	,格拉斯哥流浪者	,1.10	,0.92	,0.93	,94.72	,94.33	,12-30 23:00	,0.90	,0.92	,0.95	,92.83	,94.07	,	,0.83	,0.91	,0.94	,92.41	,92.41	,	,0.90	,0.91	,0.97	,94.30	,94.70	,	,11.00	,9.00	,6.00	,5.00	,1.22	,1.33	,0	,受让球半/两球	,受让球半	,0	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1878098.htm	,2020.12.30	,23:00	,苏超	,凯尔特人	,邓迪联队	,0.93	,0.97	,1.18	,94.05	,94.56	,12-30 23:00	,0.93	,1.03	,1.07	,93.49	,94.77	,12-30 22:56	,0.92	,0.95	,0.96	,92.48	,92.60	,	,0.96	,0.87	,0.93	,94.91	,94.86	,	,1.22	,1.13	,6.00	,8.50	,12.00	,19.00	,3	,球半/两球	,两球/两球半	,3	
http://bf.win007.com/football/Over_20201230.htm	,http://op1.win007.com/oddslist/1878099.htm	,2020.12.30	,23:00	,苏超	,圣约翰斯通	,哈密尔顿	,0.92	,0.93	,1.08	,94.49	,94.09	,12-30 23:00	,0.92	,0.98	,1.02	,92.81	,94.61	,12-30 22:55	,0.92	,0.95	,0.89	,92.49	,92.52	,	,0.95	,0.94	,0.87	,94.20	,93.99	,	,1.53	,1.36	,4.00	,4.75	,5.75	,9.00	,1	,一球	,一球/球半	,1	
