当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1745193.htm	,2020.06.30	,23:59	,葡超	,法马利卡奥	,朴迪莫伦斯	,0.92	,0.93	,1.00	,94.80	,94.61	,06-30 23:59	,0.92	,0.93	,0.95	,93.48	,93.17	,	,0.94	,0.85	,1.00	,93.37	,92.92	,06-30 23:59	,0.92	,0.93	,0.96	,94.32	,93.54	,	,1.80	,2.10	,3.70	,3.30	,4.10	,3.40	,0	,半球	,平手/半球	,0	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1733180.htm	,2020.07.01	,00:15	,瑞士甲	,沙夫豪森	,瓦杜兹	,1.05	,0.96	,0.86	,92.77	,92.38	,07-01 00:15	,1.07	,0.96	,0.89	,94.37	,94.64	,06-30 23:16	,0.81	,0.89	,0.90	,87.02	,87.46	,	,1.00	,0.97	,0.88	,92.45	,92.64	,06-30 23:52	,3.40	,4.50	,3.60	,3.90	,2.05	,1.73	,1	,受让半球	,受让半球/一球	,3	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1728011.htm	,2020.07.01	,01:00	,英冠	,雷丁	,布伦特福德	,1.01	,0.96	,0.93	,95.04	,94.80	,07-01 00:41	,0.92	,0.98	,0.96	,93.29	,95.76	,	,0.97	,0.96	,0.94	,94.61	,94.98	,	,0.97	,0.96	,0.93	,93.63	,94.29	,	,3.60	,5.50	,3.40	,3.90	,2.00	,1.65	,0	,受让半球	,受让半球/一球	,0	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1763684.htm	,2020.07.01	,01:30	,意甲	,都灵	,拉齐奥	,0.99	,0.94	,0.93	,93.99	,94.36	,	,1.03	,0.93	,0.94	,93.76	,95.72	,07-01 01:28	,0.97	,0.94	,0.96	,95.72	,95.48	,	,0.95	,0.97	,0.94	,94.75	,95.07	,	,4.60	,5.00	,3.60	,3.75	,1.75	,1.73	,0	,受让半球/一球	,受让半球/一球	,3	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1743087.htm	,2020.07.01	,01:30	,西乙	,特内里费	,拉科鲁尼亚	,0.89	,0.97	,1.01	,93.84	,93.72	,07-01 01:30	,0.89	,0.99	,1.07	,95.47	,95.36	,07-01 01:30	,0.90	,0.94	,0.95	,92.60	,92.65	,	,0.90	,0.96	,1.02	,94.32	,94.09	,07-01 01:26	,2.20	,1.91	,3.10	,3.25	,3.70	,4.60	,1	,平手/半球	,半球	,3	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1721290.htm	,2020.07.01	,01:30	,俄超	,莫斯科中央陆军	,莫斯科斯巴达	,0.89	,0.94	,0.99	,93.31	,93.47	,	,0.85	,0.97	,1.02	,93.22	,93.45	,07-01 01:30	,0.87	,0.91	,0.99	,90.60	,91.94	,	,0.85	,0.94	,1.01	,92.24	,92.21	,07-01 01:26	,2.90	,2.20	,3.25	,3.30	,2.38	,3.20	,3	,平手	,平手/半球	,3	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1745198.htm	,2020.07.01	,02:15	,葡超	,吉马雷斯	,塞图巴尔	,0.93	,0.93	,1.03	,94.02	,94.41	,07-01 02:15	,0.93	,0.93	,0.91	,93.81	,93.03	,	,0.95	,0.87	,1.02	,92.44	,93.71	,07-01 02:15	,0.95	,0.93	,0.90	,93.86	,93.75	,	,1.50	,1.40	,3.90	,4.40	,7.00	,7.50	,3	,一球	,一球/球半	,3	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1728010.htm	,2020.07.01	,02:45	,英冠	,利兹联	,卢顿	,0.93	,1.09	,1.01	,95.07	,95.82	,07-01 02:45	,0.94	,1.00	,1.09	,93.50	,95.82	,06-30 23:19	,0.94	,0.97	,0.93	,94.97	,94.04	,	,0.94	,0.94	,0.93	,93.85	,94.06	,	,1.33	,1.25	,5.00	,6.00	,8.50	,13.00	,1	,球半	,球半	,0	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1740845.htm	,2020.07.01	,03:00	,西甲	,莱加内斯	,塞维利亚	,0.82	,0.95	,1.03	,95.78	,95.21	,07-01 02:54	,0.78	,0.95	,1.05	,94.01	,95.07	,07-01 03:00	,0.82	,0.92	,1.02	,95.56	,93.88	,07-01 03:00	,1.02	,0.96	,0.93	,95.07	,95.40	,07-01 00:51	,3.90	,3.80	,3.13	,3.20	,2.05	,2.10	,0	,受让平手/半球	,受让平手/半球	,0	
http://bf.win007.com/football/Over_20200630.htm	,http://op1.win007.com/oddslist/1721987.htm	,2020.07.01	,03:15	,英超	,布莱顿	,曼彻斯特联	,1.05	,0.98	,0.92	,95.05	,95.17	,07-01 03:15	,1.12	,0.98	,0.92	,95.05	,96.44	,07-01 03:15	,1.05	,0.96	,0.92	,95.79	,94.98	,07-01 03:15	,1.00	,1.00	,0.92	,94.67	,95.26	,07-01 03:04	,4.60	,7.50	,3.40	,4.00	,1.85	,1.53	,0	,受让半球	,受让一球	,0	
