当日链接,比赛详情链接,日期,开赛时间,联赛名,主队,客队,威廉希尔凯利胜,威廉希尔凯利平,威廉希尔凯利负,威廉希尔初盘返还率,威廉希尔终盘返还率,威廉希尔变化时间,伟德凯利胜,伟德凯利平,伟德凯利负,伟德初盘返还率,伟德终盘返还率,伟德变化时间,易胜博凯利胜,易胜博凯利平,易胜博凯利负,易胜博初盘返还率,易胜博终盘返还率,易胜博变化时间,interwetten凯利胜,interwetten凯利平,interwetten凯利负,interwetten初盘返还率,interwetten终盘返还率,interwetten变化时间,伟德主胜初赔,伟德主胜终赔,伟德平赔初赔,伟德平赔终赔,伟德客胜初赔,伟德客胜终赔,最终赛果,初盘亚盘（Crown）,终盘亚盘（Crown）,首先进球方
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1849766.htm	,2020.11.30	,15:00	,哈萨超	,沙克特	,杜堡尔	,0.93	,0.87	,0.95	,91.65	,91.99	,	,0.88	,0.92	,1.05	,91.67	,91.69	,11-30 14:53	,0.82	,0.92	,1.02	,62.61	,87.76	,11-30 15:00	,	,	,	,	,	,	,1.73	,1.57	,3.90	,3.80	,3.90	,5.25	,3	,半球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1849769.htm	,2020.11.30	,15:00	,哈萨超	,奥肯咸特普斯	,奥达巴斯	,1.08	,0.95	,0.88	,91.97	,91.90	,11-30 14:54	,1.08	,0.95	,0.88	,91.30	,91.90	,11-30 14:49	,0.93	,0.96	,0.84	,87.64	,87.70	,	,	,	,	,	,	,	,3.50	,7.00	,3.80	,4.33	,1.83	,1.40	,0	,受让一球/球半	,受让一球/球半	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1849770.htm	,2020.11.30	,15:00	,哈萨超	,波格特约	,阿斯坦纳	,1.09	,0.95	,0.87	,91.42	,92.05	,11-30 14:57	,1.01	,0.95	,0.88	,91.52	,91.37	,11-30 14:55	,0.82	,0.88	,0.89	,87.70	,87.66	,	,	,	,	,	,	,	,4.00	,6.00	,4.10	,4.20	,1.67	,1.45	,0	,受让半球/一球	,受让一球	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1840874.htm	,2020.11.30	,18:00	,亚冠杯	,FC东京	,蔚山现代	,1.00	,0.92	,0.90	,92.95	,93.81	,11-30 17:57	,1.00	,0.94	,0.92	,94.94	,95.31	,11-30 17:55	,0.90	,0.95	,0.93	,91.76	,92.74	,	,0.94	,0.88	,0.94	,92.11	,92.16	,	,2.15	,3.00	,3.40	,3.25	,3.40	,2.45	,0	,平手/半球	,受让平手/半球	,3	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1849768.htm	,2020.11.30	,20:00	,哈萨超	,斯咸迪苏	,卡斯比阿克套	,0.86	,0.97	,1.12	,91.48	,92.28	,11-30 19:54	,0.86	,0.96	,1.12	,91.57	,91.98	,11-30 20:00	,0.83	,0.92	,0.96	,87.64	,87.62	,	,	,	,	,	,	,	,2.90	,1.50	,3.20	,3.75	,2.30	,6.50	,3	,一球	,一球	,3	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1930353.htm	,2020.11.30	,20:00	,阿塞超	,萨姆加耶特	,FK吉兰	,1.12	,0.93	,0.78	,91.15	,91.15	,11-30 19:48	,1.02	,0.91	,0.80	,89.30	,89.44	,11-30 19:58	,1.02	,0.98	,0.80	,89.60	,91.43	,11-30 20:00	,1.02	,0.91	,0.84	,91.33	,91.29	,11-30 19:51	,2.45	,3.10	,3.13	,3.25	,2.55	,2.05	,0	,平手	,受让平手/半球	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1948775.htm	,2020.11.30	,20:45	,伊朗超	,柏斯波利斯	,沙赫坤度若	,0.92	,0.88	,0.94	,90.63	,90.73	,	,0.92	,0.88	,1.01	,91.48	,91.80	,11-30 20:43	,0.92	,0.88	,0.83	,89.31	,89.42	,	,0.94	,0.85	,0.94	,91.51	,91.30	,	,1.67	,1.70	,3.20	,2.88	,5.50	,6.50	,3	,半球/一球	,半球/一球	,3	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1840861.htm	,2020.11.30	,21:00	,亚冠杯	,清莱联	,墨尔本胜利	,0.99	,0.98	,0.90	,93.29	,93.73	,	,1.05	,1.00	,0.90	,93.63	,95.35	,11-30 20:48	,1.01	,0.98	,0.87	,91.06	,92.60	,11-30 21:00	,0.95	,0.93	,0.91	,92.37	,92.52	,	,5.00	,4.75	,3.20	,4.00	,1.80	,1.70	,1	,受让半球	,受让半球/一球	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1840873.htm	,2020.11.30	,21:00	,亚冠杯	,上海绿地申花	,珀斯光荣	,0.93	,0.90	,1.02	,93.18	,93.84	,11-30 20:24	,0.94	,0.93	,1.02	,95.42	,95.48	,11-30 20:28	,0.94	,0.90	,0.93	,91.09	,92.58	,	,0.93	,0.90	,0.93	,92.08	,92.26	,	,1.80	,1.67	,3.70	,3.75	,4.50	,5.50	,1	,半球/一球	,半球/一球	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1948773.htm	,2020.11.30	,21:05	,伊朗超	,弗拉德	,沙禾达利亚拉克	,0.91	,0.86	,1.01	,91.27	,90.94	,11-30 21:05	,0.95	,0.89	,0.78	,91.86	,91.30	,	,0.94	,0.83	,0.79	,89.32	,89.32	,	,0.93	,0.87	,0.84	,91.12	,90.62	,	,1.40	,1.50	,3.80	,3.50	,9.00	,7.00	,1	,一球	,一球	,没有详细事件	
