当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1876563.htm	,2020.12.01	,瑞典超	,索尔纳	,卡尔马	,1.77	,3.25	,3.80	,1.90	,3.05	,3.50	,1.60	,3.65	,6.00	,2.20	,3.00	,3.60	,1	,0	,平手/半球	,0.92	,0.97	,0	,0	,0-1	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1872582.htm	,2020.11.29	,日职联	,大阪樱花	,横滨FC	,1.55	,3.70	,4.50	,1.45	,3.90	,5.20	,1.65	,3.75	,4.80	,1.63	,3.80	,5.00	,0	,1	,半球/一球	,0.85	,1.05	,3	,3	,1-0	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1883908.htm	,2020.11.29	,荷甲	,维迪斯	,福图纳锡塔德	,1.21	,5.35	,8.00	,1.24	,5.15	,7.20	,1.30	,5.50	,10.00	,1.40	,5.00	,6.50	,0	,0	,一球/球半	,0.86	,1.04	,3	,3	,2-0	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1915348.htm	,2020.11.29	,意甲	,AC米兰	,佛罗伦萨	,1.60	,3.65	,4.15	,1.48	,3.85	,4.90	,1.63	,3.95	,4.90	,1.67	,3.80	,5.00	,0	,1	,半球/一球	,0.94	,0.96	,3	,3	,2-0	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1876562.htm	,2020.11.30	,瑞典超	,赫根	,奥雷布洛	,1.24	,5.05	,7.40	,1.19	,5.50	,8.50	,1.37	,5.25	,8.00	,1.30	,5.75	,9.50	,0	,1	,球半	,0.97	,0.92	,3	,3	,3-0	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1883905.htm	,2020.11.30	,荷甲	,埃因霍温	,鹿特丹斯巴达	,1.17	,5.70	,9.20	,1.17	,5.70	,9.20	,1.15	,8.50	,18.00	,1.55	,4.40	,5.00	,1	,0	,半球/一球	,0.89	,1.00	,3	,3	,1-0	
http://bf.win007.com/football/Over_20201128.htm	,http://op1.win007.com/oddslist/1915356.htm	,2020.11.28	,意甲	,森索罗	,国际米兰	,3.90	,4.00	,1.58	,4.26	,4.05	,1.52	,4.80	,4.70	,1.60	,4.20	,4.10	,1.73	,1	,0	,受让半球/一球	,0.98	,0.92	,0	,0	,0-3	
http://bf.win007.com/football/Over_20201128.htm	,http://op1.win007.com/oddslist/1906177.htm	,2020.11.28	,英冠	,诺维奇	,考文垂	,1.47	,3.80	,5.10	,1.66	,3.35	,4.20	,1.50	,4.20	,6.00	,1.75	,3.65	,4.50	,1	,0	,半球	,0.99	,0.90	,1	,3	,1-1	
http://bf.win007.com/football/Over_20201128.htm	,http://op1.win007.com/oddslist/1915349.htm	,2020.11.29	,意甲	,亚特兰大	,维罗纳	,1.26	,5.05	,6.75	,1.35	,4.65	,5.45	,1.33	,5.25	,8.00	,1.45	,4.90	,6.25	,0	,1	,一球/球半	,0.95	,0.95	,0	,0	,0-2	
http://bf.win007.com/football/Over_20201127.htm	,http://op1.win007.com/oddslist/1906179.htm	,2020.11.28	,英冠	,布伦特福德	,女王公园巡游者	,1.52	,3.75	,4.70	,1.48	,3.80	,5.00	,1.63	,3.80	,4.90	,1.63	,3.80	,5.50	,0	,1	,半球/一球	,0.87	,1.03	,3	,3	,2-1	
http://bf.win007.com/football/Over_20201126.htm	,http://op1.win007.com/oddslist/1951557.htm	,2020.11.26	,意杯	,都灵	,德比尔图斯	,1.24	,4.80	,8.00	,1.24	,4.80	,8.00	,1.22	,6.50	,11.00	,1.40	,4.80	,7.00	,0	,0	,一球/球半	,0.91	,0.98	,3	,3	,2-0	
http://bf.win007.com/football/Over_20201125.htm	,http://op1.win007.com/oddslist/1936096.htm	,2020.11.26	,欧冠杯	,门兴格拉德巴赫	,顿涅茨克矿工	,1.47	,4.05	,4.75	,1.34	,4.40	,6.05	,1.53	,4.30	,5.75	,1.45	,4.70	,6.50	,0	,0	,一球/球半	,1.01	,0.89	,3	,3	,4-0	
http://bf.win007.com/football/Over_20201125.htm	,http://op1.win007.com/oddslist/1936085.htm	,2020.11.26	,欧冠杯	,拜仁慕尼黑	,萨尔茨堡	,1.13	,6.75	,9.50	,1.13	,6.75	,9.50	,1.25	,7.00	,10.00	,1.27	,6.00	,9.50	,1	,1	,球半	,0.85	,1.05	,3	,3	,3-1	
http://bf.win007.com/football/Over_20201125.htm	,http://op1.win007.com/oddslist/1936121.htm	,2020.11.26	,欧冠杯	,利物浦	,亚特兰大	,1.55	,4.05	,4.05	,1.44	,4.30	,4.70	,1.57	,4.40	,5.25	,1.60	,4.40	,4.80	,0	,1	,半球/一球	,1.04	,0.86	,0	,0	,0-2	
http://bf.win007.com/football/Over_20201124.htm	,http://op1.win007.com/oddslist/1840870.htm	,2020.11.24	,亚冠杯	,FC东京	,上海申花	,1.40	,3.90	,5.95	,1.37	,4.00	,6.30	,1.43	,4.30	,7.00	,1.53	,3.85	,6.00	,0	,0	,一球	,0.96	,0.92	,0	,0	,0-1	
