当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20191229.htm	,http://op1.win007.com/oddslist/1727823.htm	,2019.12.29	,英冠	,西布罗姆维奇	,米德尔斯堡	,1.38	,4.05	,5.80	,1.44	,3.85	,5.30	,1.43	,4.65	,6.80	,1.65	,3.90	,4.95	,0	,0	,半球/一球	,0.86	,1.04	,0	,0	,0-2	
http://bf.win007.com/football/Over_20191229.htm	,http://op1.win007.com/oddslist/1721868.htm	,2019.12.30	,英超	,曼彻斯特城	,谢菲尔德联队	,1.13	,5.90	,11.25	,1.16	,5.65	,9.50	,1.20	,7.20	,14.50	,1.25	,6.10	,11.00	,0	,1	,球半/两球	,0.82	,1.09	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191228.htm	,http://op1.win007.com/oddslist/1721870.htm	,2019.12.29	,英超	,诺维奇	,托特纳姆热刺	,4.40	,3.90	,1.52	,4.30	,3.90	,1.53	,5.10	,4.30	,1.60	,5.40	,3.80	,1.65	,1	,0	,受让半球/一球	,1.05	,0.86	,1	,3	,2-2	
http://bf.win007.com/football/Over_20191227.htm	,http://op1.win007.com/oddslist/1721863.htm	,2019.12.28	,英超	,狼队	,曼彻斯特城	,7.00	,4.70	,1.27	,6.35	,4.60	,1.30	,7.30	,4.80	,1.41	,7.50	,4.80	,1.40	,1	,0	,受让一球/球半	,0.98	,0.93	,3	,0	,3-2	
http://bf.win007.com/football/Over_20191226.htm	,http://op1.win007.com/oddslist/1721862.htm	,2019.12.26	,英超	,托特纳姆热刺	,布莱顿	,1.43	,4.05	,5.05	,1.37	,4.20	,5.70	,1.46	,4.65	,6.60	,1.50	,4.50	,6.10	,0	,1	,一球	,0.89	,1.02	,3	,0	,2-1	
http://bf.win007.com/football/Over_20191226.htm	,http://op1.win007.com/oddslist/1721856.htm	,2019.12.26	,英超	,切尔西	,南安普敦	,1.25	,4.85	,7.35	,1.27	,4.80	,6.80	,1.35	,5.40	,8.20	,1.37	,5.00	,8.00	,0	,1	,一球/球半	,0.89	,1.02	,0	,0	,0-2	
http://bf.win007.com/football/Over_20191226.htm	,http://op1.win007.com/oddslist/1727814.htm	,2019.12.26	,英冠	,巴恩斯利	,西布罗姆维奇	,3.95	,3.78	,1.60	,3.90	,3.75	,1.61	,4.70	,3.80	,1.60	,3.45	,3.70	,1.97	,0	,1	,受让半球	,0.88	,1.02	,1	,0	,1-1	
http://bf.win007.com/football/Over_20191226.htm	,http://op1.win007.com/oddslist/1727820.htm	,2019.12.27	,英冠	,利兹联	,普雷斯顿	,1.33	,4.25	,6.50	,1.31	,4.30	,6.75	,1.35	,4.40	,7.00	,1.42	,4.45	,7.30	,0	,1	,一球/球半	,1.02	,0.88	,1	,0	,1-1	
http://bf.win007.com/football/Over_20191226.htm	,http://op1.win007.com/oddslist/1721860.htm	,2019.12.27	,英超	,曼彻斯特联	,纽卡斯尔联	,1.24	,4.65	,8.25	,1.25	,4.60	,7.85	,1.35	,5.10	,8.90	,1.40	,4.80	,7.60	,0	,1	,球半	,1.03	,0.88	,3	,0	,4-1	
http://bf.win007.com/football/Over_20191222.htm	,http://op1.win007.com/oddslist/1723440.htm	,2019.12.22	,荷甲	,格罗宁根	,埃蒙	,1.50	,3.75	,4.75	,1.46	,3.80	,5.10	,1.60	,4.00	,4.90	,1.57	,3.90	,5.20	,0	,0	,一球	,1.09	,0.81	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191222.htm	,http://op1.win007.com/oddslist/1763568.htm	,2019.12.23	,意甲	,森索罗	,那不勒斯	,4.65	,4.10	,1.46	,4.65	,4.10	,1.46	,4.95	,4.35	,1.60	,4.30	,4.00	,1.75	,1	,1	,受让一球	,0.83	,1.06	,0	,3	,1-2	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1784024.htm	,2019.12.21	,澳洲甲	,珀斯光荣	,新城堡联队	,1.63	,3.65	,3.90	,1.52	,3.85	,4.40	,1.65	,3.80	,4.40	,1.57	,3.95	,4.85	,0	,0	,半球/一球	,0.91	,0.98	,3	,3	,6-2	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1734280.htm	,2019.12.21	,德甲	,RB莱比锡	,奥格斯堡	,1.16	,5.80	,9.25	,1.16	,5.80	,9.25	,1.26	,6.20	,10.00	,1.30	,6.00	,8.50	,0	,1	,球半/两球	,0.89	,1.02	,3	,0	,3-1	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1734279.htm	,2019.12.21	,德甲	,沙尔克04	,弗赖堡	,1.53	,3.70	,4.55	,1.59	,3.60	,4.25	,1.65	,4.05	,5.20	,1.75	,3.80	,4.60	,1	,0	,半球	,0.94	,0.97	,1	,3	,2-2	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1727800.htm	,2019.12.21	,英冠	,女王公园巡游者	,查尔顿	,1.53	,3.80	,4.40	,1.47	,3.90	,4.85	,1.65	,4.05	,4.80	,1.60	,4.15	,5.10	,0	,1	,一球	,1.05	,0.85	,1	,3	,2-2	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1763570.htm	,2019.12.22	,意甲	,国际米兰	,热那亚	,1.26	,4.60	,7.50	,1.29	,4.40	,7.05	,1.28	,5.60	,10.50	,1.40	,4.80	,7.50	,0	,0	,一球	,0.88	,1.03	,3	,3	,4-0	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1723436.htm	,2019.12.22	,荷甲	,埃因霍温	,泽沃勒	,1.17	,5.70	,9.00	,1.13	,5.85	,11.50	,1.23	,6.10	,9.80	,1.30	,5.50	,8.10	,0	,1	,球半/两球	,0.98	,0.92	,3	,0	,4-1	
http://bf.win007.com/football/Over_20191221.htm	,http://op1.win007.com/oddslist/1723769.htm	,2019.12.22	,法甲	,蒙彼利埃	,布雷斯特	,1.48	,3.50	,5.50	,1.48	,3.50	,5.50	,1.55	,4.00	,6.50	,1.65	,3.80	,5.40	,1	,1	,一球	,1.08	,0.82	,3	,3	,4-0	
http://bf.win007.com/football/Over_20191220.htm	,http://op1.win007.com/oddslist/1724407.htm	,2019.12.21	,法乙	,勒阿弗尔	,查布莱	,1.45	,3.50	,6.00	,1.35	,3.80	,7.10	,1.53	,3.70	,6.30	,1.53	,3.80	,6.10	,0	,0	,一球	,0.97	,0.91	,1	,3	,1-1	
http://bf.win007.com/football/Over_20191218.htm	,http://op1.win007.com/oddslist/1817760.htm	,2019.12.19	,法联杯	,里昂	,图卢兹	,1.32	,4.35	,7.30	,1.28	,4.45	,7.35	,1.35	,4.40	,7.50	,1.53	,4.45	,5.60	,0	,0	,一球	,0.90	,1.00	,3	,3	,4-1	
http://bf.win007.com/football/Over_20191218.htm	,http://op1.win007.com/oddslist/1734273.htm	,2019.12.19	,德甲	,门兴格拉德巴赫	,柏德博恩	,1.22	,5.60	,8.00	,1.19	,5.60	,8.00	,1.28	,6.10	,9.10	,1.33	,5.50	,8.30	,0	,1	,球半	,1.06	,0.85	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191215.htm	,http://op1.win007.com/oddslist/1819672.htm	,2019.12.15	,东亚杯	,韩国	,中国	,1.39	,3.85	,6.95	,1.27	,4.50	,8.70	,1.35	,4.15	,7.50	,1.40	,4.10	,6.50	,0	,0	,一球/球半	,1.11	,0.78	,3	,3	,1-0	
