当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20190531.htm	,http://op1.win007.com/oddslist/1710785.htm	,2019.05.31	,世青杯	,马里U20	,法国U20	,4.70	,2.95	,1.65	,5.06	,2.90	,1.62	,5.75	,3.35	,1.60	,6.50	,2.95	,1.65	,1	,0	,受让半球/一球	,0.85	,1.03	,0	,0	,2-3	
http://bf.win007.com/football/Over_20190531.htm	,http://op1.win007.com/oddslist/1710791.htm	,2019.06.01	,世青杯	,南非U20	,葡萄牙U20	,10.00	,5.30	,1.15	,19.00	,6.90	,1.04	,12.25	,5.75	,1.18	,14.25	,6.50	,1.15	,1	,0	,受让两球	,0.99	,0.89	,1	,0	,1-1	
http://bf.win007.com/football/Over_20190530.htm	,http://op1.win007.com/oddslist/1713490.htm	,2019.05.31	,南美超杯	,河床	,巴拉纳竞技	,1.47	,3.35	,5.55	,1.40	,3.50	,6.30	,1.63	,3.45	,5.70	,1.50	,3.75	,6.60	,0	,1	,一球	,0.99	,0.90	,3	,3	,3-0	
http://bf.win007.com/football/Over_20190529.htm	,http://op1.win007.com/oddslist/1656632.htm	,2019.05.30	,美职业	,亚特兰大联	,明尼苏达联	,1.28	,4.50	,6.40	,1.34	,4.20	,5.70	,1.40	,4.65	,6.70	,1.50	,4.20	,5.70	,0	,0	,一球	,0.86	,1.04	,3	,3	,3-0	
http://bf.win007.com/football/Over_20190529.htm	,http://op1.win007.com/oddslist/1656631.htm	,2019.05.30	,美职业	,费城联合	,科罗拉多急流	,1.25	,4.70	,6.80	,1.22	,4.85	,7.50	,1.37	,4.80	,6.90	,1.36	,5.00	,6.80	,0	,1	,球半	,1.06	,0.84	,1	,3	,1-1	
http://bf.win007.com/football/Over_20190527.htm	,http://op1.win007.com/oddslist/1710781.htm	,2019.05.27	,世青杯	,卡塔尔U20	,乌克兰U20	,5.80	,4.10	,1.35	,7.90	,5.00	,1.20	,6.50	,4.65	,1.35	,6.50	,4.65	,1.35	,1	,0	,受让球半	,0.90	,0.98	,0	,0	,0-1	
http://bf.win007.com/football/Over_20190527.htm	,http://op1.win007.com/oddslist/1710775.htm	,2019.05.27	,世青杯	,洪都拉斯U20	,乌拉圭U20	,12.00	,6.05	,1.10	,18.00	,7.05	,1.04	,15.00	,7.00	,1.12	,13.75	,6.50	,1.15	,1	,0	,受让两球/两球半	,0.97	,0.91	,0	,0	,0-2	
http://bf.win007.com/football/Over_20190526.htm	,http://op1.win007.com/oddslist/1559182.htm	,2019.05.26	,俄超	,奥伦堡加索维克	,莫斯科斯巴达	,3.55	,3.10	,1.80	,3.20	,3.00	,1.95	,4.75	,3.45	,1.65	,3.35	,3.40	,2.05	,0	,0	,受让平手/半球	,0.99	,0.90	,3	,3	,2-0	
http://bf.win007.com/football/Over_20190526.htm	,http://op1.win007.com/oddslist/1585427.htm	,2019.05.27	,意甲	,国际米兰	,恩波利	,1.26	,4.60	,6.75	,1.18	,5.30	,8.10	,1.40	,5.20	,7.10	,1.27	,5.80	,10.50	,0	,1	,球半/两球	,0.90	,1.01	,3	,3	,2-1	
http://bf.win007.com/football/Over_20190526.htm	,http://op1.win007.com/oddslist/1585429.htm	,2019.05.27	,意甲	,史帕尔	,AC米兰	,5.70	,4.20	,1.34	,5.15	,4.00	,1.40	,6.00	,4.85	,1.47	,5.40	,4.30	,1.57	,0	,1	,受让半球/一球	,1.06	,0.85	,0	,0	,2-3	
