当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20190430.htm	,http://op1.win007.com/oddslist/1550007.htm	,2019.05.01	,法甲	,蒙彼利埃	,巴黎圣日尔曼	,3.70	,3.60	,1.64	,3.50	,3.50	,1.70	,5.70	,4.35	,1.55	,3.60	,3.70	,2.00	,1	,1	,受让半球/一球	,0.99	,0.91	,3	,0	,3-2	
http://bf.win007.com/football/Over_20190429.htm	,http://op1.win007.com/oddslist/1559151.htm	,2019.04.30	,俄超	,莫斯科斯巴达	,喀山鲁宾	,1.55	,3.15	,5.10	,1.49	,3.20	,5.70	,1.55	,3.45	,6.00	,1.70	,3.25	,5.30	,1	,0	,半球	,0.88	,1.02	,1	,3	,1-1	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1662188.htm	,2019.04.28	,日职乙	,柏太阳神	,横滨FC	,1.57	,3.35	,4.50	,1.57	,3.35	,4.50	,1.60	,3.45	,5.25	,1.65	,3.45	,4.90	,0	,0	,半球/一球	,0.97	,0.93	,1	,1	,0-0	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1583537.htm	,2019.04.28	,西甲	,巴伦西亚	,埃瓦尔	,1.30	,4.30	,6.35	,1.35	,4.10	,5.72	,1.45	,4.80	,6.60	,1.40	,4.80	,7.50	,0	,1	,一球	,0.82	,1.09	,0	,0	,0-1	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1585394.htm	,2019.04.28	,意甲	,弗洛西诺尼	,那不勒斯	,8.20	,4.90	,1.20	,8.20	,4.90	,1.20	,8.90	,5.20	,1.35	,9.00	,5.00	,1.35	,1	,0	,受让球半	,0.93	,0.98	,0	,0	,0-2	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1561197.htm	,2019.04.28	,德甲	,霍芬海姆	,沃尔夫斯堡	,1.34	,4.70	,5.00	,1.29	,4.90	,5.55	,1.53	,4.80	,5.20	,1.50	,4.70	,5.70	,1	,1	,球半	,1.11	,0.81	,0	,3	,1-4	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1550010.htm	,2019.04.28	,法甲	,圣埃蒂安	,图卢兹	,1.38	,3.85	,5.70	,1.33	,4.00	,6.35	,1.57	,4.05	,5.80	,1.47	,4.30	,7.00	,0	,0	,一球	,0.81	,1.09	,3	,3	,2-0	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1583530.htm	,2019.04.29	,西甲	,巴列卡诺	,皇家马德里	,5.75	,4.50	,1.31	,5.40	,4.40	,1.34	,6.40	,4.95	,1.45	,6.50	,4.70	,1.45	,1	,0	,受让一球/球半	,0.86	,1.05	,3	,3	,1-0	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1676760.htm	,2019.04.29	,巴西甲	,巴拉纳竞技	,瓦斯科达伽马	,1.50	,3.45	,4.95	,1.36	,3.75	,6.35	,1.60	,3.60	,5.50	,1.50	,3.85	,6.50	,0	,1	,一球	,0.84	,1.06	,3	,3	,4-1	
http://bf.win007.com/football/Over_20190428.htm	,http://op1.win007.com/oddslist/1656561.htm	,2019.04.29	,美职业	,洛杉矶银河	,皇家盐湖城	,1.46	,3.95	,4.55	,1.43	,4.00	,4.75	,1.48	,4.50	,5.50	,1.57	,4.15	,4.85	,0	,1	,一球	,0.92	,0.98	,3	,3	,2-1	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1583529.htm	,2019.04.27	,西甲	,毕尔巴鄂竞技	,阿拉维斯	,1.38	,3.60	,6.35	,1.35	,3.70	,6.75	,1.57	,3.90	,6.40	,1.50	,4.10	,7.50	,0	,1	,一球	,0.89	,1.02	,1	,3	,1-1	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1561193.htm	,2019.04.27	,德甲	,多特蒙德	,沙尔克04	,1.23	,4.80	,7.25	,1.30	,4.45	,6.05	,1.41	,4.85	,7.40	,1.45	,4.50	,7.00	,1	,0	,一球/球半	,1.08	,0.83	,0	,3	,2-4	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1561199.htm	,2019.04.27	,德甲	,RB莱比锡	,弗赖堡	,1.13	,5.70	,10.25	,1.13	,5.70	,10.25	,1.27	,5.80	,11.00	,1.25	,6.10	,11.00	,0	,1	,球半/两球	,1.04	,0.87	,3	,3	,2-1	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1576359.htm	,2019.04.28	,葡超	,里斯本竞技	,吉马雷斯	,1.32	,4.15	,6.25	,1.32	,4.15	,6.25	,1.42	,4.50	,6.40	,1.41	,4.45	,6.80	,0	,1	,一球/球半	,1.03	,0.87	,3	,3	,2-0	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1656572.htm	,2019.04.28	,美职业	,纽约城	,奥兰多城	,1.48	,3.85	,4.50	,1.45	,3.92	,4.65	,1.60	,4.00	,4.95	,1.65	,3.90	,4.70	,0	,1	,半球/一球	,0.94	,0.96	,1	,0	,1-1	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1656571.htm	,2019.04.28	,美职业	,多伦多FC	,波特兰伐木者	,1.50	,4.00	,4.15	,1.45	,4.10	,4.45	,1.50	,4.45	,5.20	,1.65	,4.10	,4.45	,0	,0	,半球/一球	,0.86	,1.04	,0	,3	,1-2	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1656570.htm	,2019.04.28	,美职业	,达拉斯FC	,圣何塞地震	,1.32	,4.40	,5.75	,1.36	,4.25	,5.30	,1.43	,4.65	,6.10	,1.50	,4.40	,5.20	,0	,0	,一球	,0.97	,0.93	,1	,1	,0-0	
http://bf.win007.com/football/Over_20190427.htm	,http://op1.win007.com/oddslist/1656567.htm	,2019.04.28	,美职业	,纽约红牛	,辛辛那提	,1.47	,3.85	,4.60	,1.47	,3.85	,4.60	,1.53	,4.35	,5.20	,1.60	,4.05	,4.75	,1	,0	,半球/一球	,1.03	,0.87	,3	,3	,1-0	
http://bf.win007.com/football/Over_20190426.htm	,http://op1.win007.com/oddslist/1584894.htm	,2019.04.26	,澳洲甲	,墨尔本城	,中部海岸海员	,1.26	,4.85	,6.25	,1.35	,4.45	,5.20	,1.30	,5.25	,7.75	,1.40	,4.90	,5.70	,0	,0	,一球/球半	,1.05	,0.83	,3	,3	,5-0	
http://bf.win007.com/football/Over_20190426.htm	,http://op1.win007.com/oddslist/1562356.htm	,2019.04.27	,德乙	,科隆	,达姆斯塔特	,1.19	,5.25	,7.75	,1.25	,4.85	,6.55	,1.30	,5.60	,9.10	,1.35	,5.50	,7.00	,0	,1	,一球/球半	,0.82	,1.08	,0	,0	,1-2	
http://bf.win007.com/football/Over_20190425.htm	,http://op1.win007.com/oddslist/1656489.htm	,2019.04.25	,美职业	,西雅图音速	,圣何塞地震	,1.24	,4.85	,6.80	,1.24	,4.85	,6.80	,1.32	,5.10	,7.80	,1.40	,4.70	,6.50	,0	,1	,一球/球半	,0.87	,1.03	,1	,0	,2-2	
http://bf.win007.com/football/Over_20190425.htm	,http://op1.win007.com/oddslist/1552133.htm	,2019.04.26	,荷甲	,海牙	,SBV精英	,1.85	,3.45	,3.05	,1.88	,3.45	,2.96	,1.63	,3.95	,4.70	,2.05	,3.65	,3.10	,1	,0	,平手/半球	,1.01	,0.89	,3	,3	,3-1	
http://bf.win007.com/football/Over_20190425.htm	,http://op1.win007.com/oddslist/1583522.htm	,2019.04.26	,西甲	,塞维利亚	,巴列卡诺	,1.22	,5.00	,7.15	,1.12	,6.20	,9.50	,1.38	,5.20	,7.40	,1.25	,6.10	,11.00	,0	,1	,两球	,1.02	,0.89	,3	,3	,5-0	
http://bf.win007.com/football/Over_20190425.htm	,http://op1.win007.com/oddslist/1552134.htm	,2019.04.26	,荷甲	,威廉二世	,埃因霍温	,5.80	,4.60	,1.30	,6.60	,4.80	,1.25	,6.60	,5.20	,1.36	,8.00	,5.50	,1.30	,1	,0	,受让球半	,1.04	,0.86	,0	,0	,0-3	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1676323.htm	,2019.04.24	,亚冠杯	,全北现代	,浦和红钻	,1.47	,3.65	,4.90	,1.41	,3.75	,5.45	,1.60	,3.95	,5.00	,1.60	,3.95	,5.10	,0	,0	,半球/一球	,0.80	,1.08	,3	,3	,2-1	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1650450.htm	,2019.04.25	,瑞典超	,马尔默	,哈马比	,1.45	,3.80	,4.85	,1.45	,3.80	,4.85	,1.50	,4.30	,5.90	,1.60	,4.00	,5.30	,0	,1	,一球	,1.06	,0.84	,3	,0	,4-1	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1552130.htm	,2019.04.25	,荷甲	,乌德勒支	,福图纳锡塔德	,1.26	,4.75	,6.50	,1.23	,4.90	,7.00	,1.35	,5.00	,7.40	,1.32	,5.30	,7.40	,0	,1	,球半	,0.85	,1.05	,3	,3	,2-1	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1559144.htm	,2019.04.25	,俄超	,圣彼得堡泽尼特	,莫斯科迪纳摩	,1.38	,3.65	,6.25	,1.38	,3.65	,6.25	,1.45	,3.95	,6.50	,1.57	,3.65	,5.80	,0	,1	,半球/一球	,0.79	,1.12	,3	,3	,2-0	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1679367.htm	,2019.04.25	,自由杯	,利马联盟	,巴西国际	,5.00	,3.55	,1.48	,5.55	,3.65	,1.42	,5.50	,3.75	,1.57	,5.30	,3.70	,1.60	,1	,0	,受让一球	,1.05	,0.83	,0	,0	,0-1	
http://bf.win007.com/football/Over_20190424.htm	,http://op1.win007.com/oddslist/1702348.htm	,2019.04.25	,巴西杯	,科林蒂安	,沙佩科恩斯	,1.37	,3.50	,7.00	,1.38	,3.45	,6.90	,1.45	,3.65	,7.50	,1.55	,3.35	,6.75	,0	,1	,一球	,1.16	,0.76	,3	,3	,2-0	
http://bf.win007.com/football/Over_20190423.htm	,http://op1.win007.com/oddslist/1676311.htm	,2019.04.23	,亚冠杯	,墨尔本胜利	,广州队	,4.16	,3.65	,1.55	,6.10	,4.20	,1.32	,4.55	,3.90	,1.60	,5.50	,4.45	,1.48	,1	,0	,受让一球/球半	,0.89	,0.99	,1	,0	,1-1	
