当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20200830.htm	,http://op1.win007.com/oddslist/1884680.htm	,2020.08.30	,荷乙	,阿贾克斯青年队	,罗达JC	,1.50	,4.30	,4.25	,1.59	,4.15	,3.80	,1.50	,4.40	,4.80	,1.77	,3.90	,3.60	,0	,1	,半球/一球	,1.01	,0.87	,0	,0	,0-4	
http://bf.win007.com/football/Over_20200830.htm	,http://op1.win007.com/oddslist/1876475.htm	,2020.08.30	,瑞典超	,奥雷布洛	,诺科平	,4.70	,3.92	,1.50	,5.50	,4.10	,1.41	,5.00	,4.00	,1.63	,6.50	,4.50	,1.45	,1	,0	,受让一球/球半	,0.93	,0.96	,3	,3	,4-3	
http://bf.win007.com/football/Over_20200830.htm	,http://op1.win007.com/oddslist/1876471.htm	,2020.08.30	,瑞典超	,哈马比	,卡尔马	,1.48	,3.95	,4.90	,1.46	,3.90	,5.20	,1.53	,4.30	,5.75	,1.55	,4.10	,5.75	,0	,1	,一球	,0.98	,0.91	,1	,3	,3-3	
http://bf.win007.com/football/Over_20200830.htm	,http://op1.win007.com/oddslist/1876879.htm	,2020.08.30	,挪超	,奥德格伦兰	,莫达伦	,1.47	,3.90	,5.05	,1.47	,3.80	,5.25	,1.53	,4.20	,5.75	,1.65	,3.75	,5.25	,0	,1	,半球/一球	,0.82	,1.08	,3	,0	,6-1	
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1872427.htm	,2020.08.29	,日职联	,川崎前锋	,清水鼓动	,1.26	,5.40	,6.50	,1.27	,5.40	,6.20	,1.22	,6.00	,11.00	,1.43	,5.00	,5.75	,0	,1	,一球/球半	,0.89	,1.01	,3	,3	,5-0	
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1896906.htm	,2020.08.30	,美职业	,纽约城	,芝加哥火焰	,1.75	,3.50	,3.60	,1.75	,3.50	,3.60	,1.45	,4.70	,6.50	,2.00	,3.45	,3.55	,0	,0	,平手/半球	,0.83	,1.07	,3	,3	,3-1	
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1896905.htm	,2020.08.30	,美职业	,费城联合	,华盛顿联	,1.60	,3.62	,4.30	,1.63	,3.60	,4.15	,1.47	,4.70	,6.25	,1.90	,3.45	,3.90	,0	,1	,半球	,0.86	,1.04	,3	,3	,4-1	
http://bf.win007.com/football/Over_20200827.htm	,http://op1.win007.com/oddslist/1903747.htm	,2020.08.28	,欧罗巴杯	,罗森博格	,贝雷达比历克	,1.19	,5.20	,10.00	,1.16	,5.90	,9.75	,1.20	,6.50	,12.00	,1.17	,7.00	,12.00	,0	,1	,两球/两球半	,0.91	,0.85	,3	,3	,4-2	
http://bf.win007.com/football/Over_20200826.htm	,http://op1.win007.com/oddslist/1886612.htm	,2020.08.26	,俄超	,莫斯科火车头	,格罗兹尼特里克	,1.73	,3.20	,4.15	,1.67	,3.25	,4.40	,1.63	,3.60	,6.00	,1.95	,3.25	,4.20	,0	,0	,半球	,0.86	,1.04	,0	,0	,2-3	
http://bf.win007.com/football/Over_20200825.htm	,http://op1.win007.com/oddslist/1896896.htm	,2020.08.26	,美职业	,肯萨斯竞技	,休斯敦迪纳摩	,1.52	,3.95	,4.50	,1.44	,4.05	,5.20	,1.60	,4.20	,5.25	,1.60	,4.00	,5.00	,0	,0	,一球	,1.00	,0.90	,0	,0	,2-5	
