当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1740661.htm	,2019.11.30	,西甲	,阿拉维斯	,皇家马德里	,6.10	,4.25	,1.38	,6.75	,4.50	,1.33	,7.00	,4.75	,1.43	,7.00	,4.50	,1.45	,1	,0	,受让一球/球半	,0.93	,0.97	,0	,0	,1-2	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1721809.htm	,2019.11.30	,英超	,纽卡斯尔联	,曼彻斯特城	,14.00	,6.75	,1.11	,12.50	,6.75	,1.12	,15.00	,7.50	,1.17	,13.00	,7.00	,1.20	,0	,0	,受让两球	,0.89	,1.02	,1	,0	,2-2	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1763538.htm	,2019.11.30	,意甲	,布雷西亚	,亚特兰大	,5.60	,4.35	,1.40	,5.80	,4.45	,1.38	,6.10	,4.55	,1.50	,6.50	,4.30	,1.50	,1	,0	,受让一球/球半	,0.91	,0.99	,0	,0	,0-3	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1721805.htm	,2019.11.30	,英超	,切尔西	,西汉姆联	,1.21	,5.50	,8.75	,1.21	,5.50	,8.75	,1.31	,5.70	,8.80	,1.30	,5.50	,9.60	,0	,0	,球半/两球	,1.01	,0.90	,0	,0	,0-1	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1721807.htm	,2019.11.30	,英超	,利物浦	,布莱顿	,1.15	,6.20	,11.00	,1.14	,6.35	,11.50	,1.22	,6.40	,13.00	,1.20	,7.00	,13.00	,0	,1	,球半/两球	,0.80	,1.12	,3	,3	,2-1	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1727755.htm	,2019.11.30	,英冠	,布伦特福德	,卢顿	,1.41	,4.10	,5.90	,1.41	,4.10	,5.90	,1.50	,4.20	,6.00	,1.50	,4.35	,6.10	,0	,0	,一球	,0.84	,1.06	,3	,3	,7-0	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1734240.htm	,2019.12.01	,德甲	,拜仁慕尼黑	,勒沃库森	,1.21	,5.70	,8.20	,1.14	,6.40	,11.00	,1.27	,6.40	,9.40	,1.30	,6.00	,8.70	,0	,1	,两球	,1.01	,0.90	,0	,0	,1-2	
http://bf.win007.com/football/Over_20191129.htm	,http://op1.win007.com/oddslist/1725427.htm	,2019.11.30	,荷乙	,邓伯什	,多德勒支	,1.51	,4.20	,4.55	,1.51	,4.20	,4.55	,1.50	,4.40	,4.90	,1.55	,4.30	,4.50	,0	,1	,一球	,0.92	,0.96	,3	,3	,3-2	
http://bf.win007.com/football/Over_20191128.htm	,http://op1.win007.com/oddslist/1788157.htm	,2019.11.28	,欧罗巴杯	,阿斯坦纳	,曼彻斯特联	,2.75	,3.55	,2.10	,3.50	,3.65	,1.78	,8.00	,5.40	,1.35	,4.25	,3.60	,1.85	,1	,0	,受让半球	,0.95	,0.93	,3	,0	,2-1	
http://bf.win007.com/football/Over_20191128.htm	,http://op1.win007.com/oddslist/1788156.htm	,2019.11.29	,欧罗巴杯	,艾克马亚	,贝尔格莱德游击	,1.47	,4.15	,5.00	,1.26	,5.20	,7.30	,1.57	,4.40	,5.20	,1.31	,5.60	,9.10	,0	,1	,球半	,0.90	,0.98	,1	,0	,2-2	
http://bf.win007.com/football/Over_20191128.htm	,http://op1.win007.com/oddslist/1788073.htm	,2019.11.29	,欧罗巴杯	,拉齐奥	,克卢日	,1.45	,4.00	,5.50	,1.48	,3.95	,5.20	,1.50	,4.55	,6.20	,1.60	,4.00	,5.50	,0	,1	,一球	,1.06	,0.82	,3	,3	,1-0	
http://bf.win007.com/football/Over_20191127.htm	,http://op1.win007.com/oddslist/1786508.htm	,2019.11.28	,欧冠杯	,巴塞罗那	,多特蒙德	,1.48	,4.20	,4.80	,1.46	,4.25	,4.95	,1.63	,4.30	,4.90	,1.42	,4.60	,7.50	,0	,1	,一球/球半	,0.94	,0.96	,3	,3	,3-1	
http://bf.win007.com/football/Over_20191127.htm	,http://op1.win007.com/oddslist/1786520.htm	,2019.11.28	,欧冠杯	,RB莱比锡	,本菲卡	,1.40	,4.35	,5.65	,1.34	,4.65	,6.25	,1.50	,4.40	,6.10	,1.45	,4.50	,7.00	,0	,1	,一球/球半	,0.92	,0.98	,1	,0	,2-2	
http://bf.win007.com/football/Over_20191124.htm	,http://op1.win007.com/oddslist/1734237.htm	,2019.11.25	,德甲	,霍芬海姆	,美因茨	,1.57	,3.95	,4.30	,1.53	,4.00	,4.60	,1.63	,4.25	,5.00	,1.65	,4.00	,5.00	,0	,1	,半球/一球	,0.95	,0.95	,0	,0	,1-5	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1740655.htm	,2019.11.23	,西甲	,莱加内斯	,巴塞罗那	,7.10	,4.35	,1.33	,5.20	,3.85	,1.49	,7.90	,5.20	,1.36	,6.50	,4.30	,1.50	,1	,1	,受让半球/一球	,1.06	,0.85	,0	,3	,1-2	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1734231.htm	,2019.11.23	,德甲	,杜塞尔多夫	,拜仁慕尼黑	,12.00	,7.20	,1.11	,11.00	,6.80	,1.13	,13.00	,7.40	,1.20	,11.00	,6.10	,1.25	,1	,0	,受让两球	,0.83	,1.08	,0	,0	,0-4	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1721794.htm	,2019.11.23	,英超	,阿森纳	,南安普敦	,1.43	,4.35	,5.20	,1.34	,4.70	,6.10	,1.53	,4.55	,5.80	,1.45	,4.50	,7.00	,0	,0	,一球/球半	,1.01	,0.90	,1	,0	,2-2	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1721798.htm	,2019.11.23	,英超	,水晶宫	,利物浦	,6.75	,4.30	,1.35	,6.75	,4.30	,1.35	,7.70	,4.95	,1.40	,7.20	,4.40	,1.45	,1	,0	,受让一球	,1.13	,0.79	,0	,0	,1-2	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1723721.htm	,2019.11.24	,法甲	,里昂	,尼斯	,1.38	,4.15	,6.45	,1.40	,4.05	,6.20	,1.43	,4.65	,7.30	,1.43	,4.65	,7.30	,0	,1	,一球	,0.98	,0.91	,3	,3	,2-1	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1721800.htm	,2019.11.24	,英超	,曼彻斯特城	,切尔西	,1.33	,4.75	,6.25	,1.30	,5.05	,6.40	,1.40	,5.10	,7.30	,1.45	,4.50	,7.00	,0	,1	,一球/球半	,0.81	,1.11	,3	,0	,2-1	
http://bf.win007.com/football/Over_20191123.htm	,http://op1.win007.com/oddslist/1740658.htm	,2019.11.24	,西甲	,皇家马德里	,皇家社会	,1.31	,4.80	,6.70	,1.33	,4.70	,6.40	,1.40	,5.20	,6.80	,1.40	,4.80	,7.60	,0	,1	,一球/球半	,0.89	,1.02	,3	,0	,3-1	
http://bf.win007.com/football/Over_20191122.htm	,http://op1.win007.com/oddslist/1724365.htm	,2019.11.23	,法乙	,特鲁瓦	,查布莱	,1.50	,3.40	,6.25	,1.52	,3.35	,6.10	,1.57	,3.50	,6.40	,1.67	,3.35	,5.60	,0	,0	,半球/一球	,0.96	,0.92	,0	,0	,0-4	
http://bf.win007.com/football/Over_20191119.htm	,http://op1.win007.com/oddslist/1647063.htm	,2019.11.20	,欧洲杯	,波兰	,斯洛文尼亚	,1.60	,3.50	,4.75	,1.58	,3.50	,4.90	,1.57	,4.20	,5.80	,1.75	,3.55	,5.10	,0	,1	,半球/一球	,1.06	,0.84	,3	,3	,3-2	
http://bf.win007.com/football/Over_20191119.htm	,http://op1.win007.com/oddslist/1647064.htm	,2019.11.20	,欧洲杯	,拉脱维亚	,奥地利	,15.00	,6.50	,1.11	,15.00	,6.20	,1.12	,17.00	,7.20	,1.17	,15.00	,7.50	,1.17	,1	,0	,受让两球	,1.06	,0.84	,3	,3	,1-0	
http://bf.win007.com/football/Over_20191118.htm	,http://op1.win007.com/oddslist/1647034.htm	,2019.11.19	,欧洲杯	,西班牙	,罗马尼亚	,1.10	,6.75	,15.50	,1.13	,6.35	,12.50	,1.17	,7.40	,16.50	,1.20	,6.50	,15.00	,0	,1	,两球	,0.87	,0.99	,3	,3	,5-0	
http://bf.win007.com/football/Over_20191116.htm	,http://op1.win007.com/oddslist/1646962.htm	,2019.11.17	,欧洲杯	,北爱尔兰	,荷兰	,6.80	,4.00	,1.38	,6.40	,3.95	,1.40	,7.60	,4.45	,1.45	,6.60	,4.05	,1.53	,1	,0	,受让一球	,0.99	,0.91	,1	,1	,0-0	
http://bf.win007.com/football/Over_20191115.htm	,http://op1.win007.com/oddslist/1646982.htm	,2019.11.16	,欧洲杯	,瑞士	,格鲁吉亚	,1.10	,6.45	,17.00	,1.10	,6.55	,16.00	,1.15	,7.40	,21.00	,1.15	,7.60	,18.50	,0	,1	,球半/两球	,1.00	,0.88	,3	,3	,1-0	
http://bf.win007.com/football/Over_20191113.htm	,http://op1.win007.com/oddslist/1766648.htm	,2019.11.14	,英锦赛	,布里斯托流浪	,斯文登	,1.68	,3.70	,3.90	,1.54	,3.85	,4.70	,1.50	,3.95	,5.30	,1.36	,4.60	,6.40	,0	,1	,一球/球半	,0.90	,0.92	,3	,3	,1-0	
http://bf.win007.com/football/Over_20191111.htm	,http://op1.win007.com/oddslist/1677078.htm	,2019.11.12	,巴西甲	,博塔弗戈	,奥瓦	,1.58	,3.35	,5.25	,1.58	,3.35	,5.25	,1.63	,3.45	,5.70	,1.63	,3.50	,5.60	,0	,1	,半球/一球	,1.00	,0.90	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1810899.htm	,2019.11.10	,英足总杯	,布里斯托流浪	,布罗姆利	,1.52	,3.85	,4.90	,1.67	,3.70	,3.95	,1.55	,4.40	,5.70	,1.75	,3.75	,4.20	,0	,0	,半球/一球	,1.12	,0.77	,1	,3	,1-1	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1813224.htm	,2019.11.10	,瑞典甲	,卡尔马	,布拉格	,1.74	,3.35	,4.05	,1.64	,3.50	,4.45	,1.57	,3.95	,5.90	,1.70	,3.60	,4.95	,0	,0	,半球/一球	,1.05	,0.85	,1	,3	,2-2	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1721788.htm	,2019.11.10	,英超	,曼彻斯特联	,布莱顿	,1.53	,3.65	,5.15	,1.51	,3.55	,5.60	,1.57	,3.90	,6.20	,1.60	,3.80	,6.00	,0	,1	,半球/一球	,0.86	,1.05	,3	,3	,3-1	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1763518.htm	,2019.11.10	,意甲	,拉齐奥	,莱切	,1.16	,6.25	,10.00	,1.12	,6.80	,12.00	,1.25	,6.50	,10.50	,1.25	,6.10	,11.00	,0	,1	,两球/两球半	,1.05	,0.86	,3	,3	,4-2	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1651719.htm	,2019.11.11	,挪超	,莫尔德	,斯托姆加斯特	,1.33	,4.75	,6.30	,1.35	,4.60	,6.10	,1.35	,4.95	,6.50	,1.60	,4.15	,4.70	,0	,0	,一球	,0.96	,0.92	,3	,3	,4-0	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1662515.htm	,2019.11.09	,日职乙	,新泻天鹅	,FC岐阜	,1.50	,3.91	,5.00	,1.52	,3.85	,4.90	,1.45	,4.20	,6.00	,1.60	,3.80	,4.70	,0	,0	,半球/一球	,0.88	,1.02	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1810890.htm	,2019.11.09	,英足总杯	,桑德兰	,吉林汉姆	,1.52	,3.75	,5.10	,1.48	,3.85	,5.40	,1.63	,4.00	,5.40	,1.60	,4.00	,5.80	,0	,1	,一球	,1.06	,0.82	,1	,3	,1-1	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1721792.htm	,2019.11.09	,英超	,托特纳姆热刺	,谢菲尔德联队	,1.45	,4.00	,5.50	,1.43	,3.92	,5.90	,1.50	,4.45	,6.10	,1.55	,4.20	,6.00	,0	,1	,一球	,0.89	,1.02	,1	,3	,1-1	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1745032.htm	,2019.11.09	,葡超	,里奥阿维	,塞图巴尔	,1.49	,3.55	,5.95	,1.44	,3.65	,6.45	,1.57	,3.85	,6.00	,1.53	,3.90	,6.60	,0	,1	,一球	,1.11	,0.80	,3	,3	,1-0	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1721220.htm	,2019.11.09	,俄超	,莫斯科斯巴达	,苏维埃之翼	,1.59	,3.45	,4.95	,1.59	,3.45	,4.95	,1.57	,3.80	,5.40	,1.67	,3.65	,4.95	,0	,0	,半球/一球	,0.89	,1.01	,3	,3	,2-0	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1740646.htm	,2019.11.10	,西甲	,埃瓦尔	,皇家马德里	,4.90	,4.00	,1.50	,4.90	,4.00	,1.50	,5.30	,4.30	,1.60	,5.10	,4.20	,1.60	,1	,0	,受让一球	,0.82	,1.09	,0	,0	,0-4	
http://bf.win007.com/football/Over_20191109.htm	,http://op1.win007.com/oddslist/1740644.htm	,2019.11.10	,西甲	,巴塞罗那	,塞尔塔	,1.13	,6.55	,12.00	,1.14	,6.40	,11.25	,1.18	,7.20	,16.00	,1.22	,6.50	,13.00	,0	,1	,球半/两球	,0.85	,1.06	,3	,3	,4-1	
http://bf.win007.com/football/Over_20191108.htm	,http://op1.win007.com/oddslist/1725398.htm	,2019.11.09	,荷乙	,前进之鹰	,多德勒支	,1.35	,4.75	,5.85	,1.27	,5.15	,7.20	,1.40	,4.80	,6.00	,1.30	,5.00	,6.75	,0	,1	,球半	,0.92	,0.96	,3	,3	,3-1	
http://bf.win007.com/football/Over_20191108.htm	,http://op1.win007.com/oddslist/1740649.htm	,2019.11.09	,西甲	,皇家社会	,莱加内斯	,1.54	,3.45	,5.50	,1.60	,3.30	,5.20	,1.65	,3.65	,5.80	,1.85	,3.30	,4.80	,0	,1	,半球	,0.86	,1.05	,1	,3	,1-1	
http://bf.win007.com/football/Over_20191107.htm	,http://op1.win007.com/oddslist/1788147.htm	,2019.11.08	,欧罗巴杯	,狼队	,布拉迪斯拉发	,1.25	,4.65	,9.25	,1.25	,4.65	,9.25	,1.32	,5.10	,10.50	,1.40	,4.50	,8.50	,0	,1	,一球/球半	,0.81	,1.07	,3	,3	,1-0	
