当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1917992.htm	,2020.12.30	,葡超	,本菲卡	,朴迪莫伦斯	,1.18	,5.20	,10.00	,1.16	,5.40	,11.00	,1.23	,6.10	,12.00	,1.20	,6.50	,13.00	,0	,1	,球半	,0.86	,1.04	,3	,3	,2-1	
http://bf.win007.com/football/Over_20201229.htm	,http://op1.win007.com/oddslist/1913931.htm	,2020.12.30	,西甲	,巴塞罗那	,埃瓦尔	,1.22	,4.95	,8.50	,1.16	,5.75	,9.65	,1.22	,6.25	,10.00	,1.30	,5.50	,9.60	,0	,1	,球半	,0.89	,1.01	,1	,0	,1-1	
http://bf.win007.com/football/Over_20201228.htm	,http://op1.win007.com/oddslist/1903947.htm	,2020.12.29	,英超	,切尔西	,阿斯顿维拉	,1.56	,3.85	,4.20	,1.50	,4.00	,4.50	,1.43	,4.60	,6.25	,1.83	,3.80	,4.00	,0	,0	,半球/一球	,1.09	,0.81	,1	,3	,1-1	
http://bf.win007.com/football/Over_20201227.htm	,http://op1.win007.com/oddslist/1961078.htm	,2020.12.27	,日皇杯	,大阪钢巴	,德岛漩涡	,1.69	,3.35	,4.05	,2.02	,3.18	,3.05	,1.63	,3.65	,5.50	,2.30	,3.10	,2.95	,0	,0	,平手/半球	,1.08	,0.80	,3	,3	,2-0	
http://bf.win007.com/football/Over_20201227.htm	,http://op1.win007.com/oddslist/1858845.htm	,2020.12.28	,巴西甲	,桑托斯	,塞阿拉	,1.92	,3.10	,3.40	,1.92	,3.10	,3.40	,1.65	,3.20	,6.50	,2.05	,3.30	,3.65	,0	,0	,半球	,1.08	,0.82	,1	,3	,1-1	
http://bf.win007.com/football/Over_20201227.htm	,http://op1.win007.com/oddslist/1858841.htm	,2020.12.28	,巴西甲	,格雷米奥	,戈亚尼亚竞技	,1.61	,3.25	,4.75	,1.67	,3.15	,4.50	,1.65	,3.45	,5.75	,2.00	,3.10	,4.10	,1	,0	,半球	,1.07	,0.83	,3	,3	,2-1	
http://bf.win007.com/football/Over_20201223.htm	,http://op1.win007.com/oddslist/1960581.htm	,2020.12.23	,日皇杯	,德岛漩涡	,FC本田	,1.36	,4.00	,6.50	,1.54	,3.75	,4.50	,1.20	,6.75	,12.00	,1.70	,3.50	,4.60	,1	,0	,半球/一球	,0.86	,0.96	,3	,3	,3-0	
http://bf.win007.com/football/Over_20201223.htm	,http://op1.win007.com/oddslist/1877378.htm	,2020.12.24	,法甲	,巴黎圣日尔曼	,斯特拉斯堡	,1.22	,4.90	,8.70	,1.22	,4.90	,8.70	,1.22	,6.25	,10.00	,1.33	,5.50	,8.00	,0	,0	,球半	,0.92	,0.97	,3	,3	,4-0	
http://bf.win007.com/football/Over_20201223.htm	,http://op1.win007.com/oddslist/1877374.htm	,2020.12.24	,法甲	,摩纳哥	,圣埃蒂安	,1.48	,3.85	,4.90	,1.46	,3.90	,5.05	,1.60	,3.90	,5.25	,1.63	,3.85	,5.25	,0	,0	,半球/一球	,0.88	,1.02	,1	,3	,2-2	
http://bf.win007.com/football/Over_20201223.htm	,http://op1.win007.com/oddslist/1883941.htm	,2020.12.24	,荷甲	,费耶诺德	,海伦芬	,1.58	,3.90	,4.00	,1.55	,3.95	,4.15	,1.63	,4.00	,4.80	,1.67	,4.10	,4.50	,0	,0	,半球/一球	,0.84	,1.06	,3	,3	,3-0	
http://bf.win007.com/football/Over_20201223.htm	,http://op1.win007.com/oddslist/1957785.htm	,2020.12.24	,巴西杯	,帕尔梅拉斯	,米内罗美洲	,1.47	,3.35	,6.25	,1.40	,3.60	,6.85	,1.27	,5.00	,11.00	,1.65	,3.40	,5.75	,0	,1	,半球/一球	,0.79	,1.12	,1	,0	,1-1	
http://bf.win007.com/football/Over_20201222.htm	,http://op1.win007.com/oddslist/1932742.htm	,2020.12.23	,挪超	,桑德菲杰	,罗森博格	,4.70	,3.75	,1.52	,5.20	,3.90	,1.45	,7.00	,3.80	,1.50	,5.50	,4.30	,1.55	,1	,0	,受让一球	,0.80	,1.11	,1	,1	,0-0	
http://bf.win007.com/football/Over_20201222.htm	,http://op1.win007.com/oddslist/1932744.htm	,2020.12.23	,挪超	,斯托姆加斯特	,斯塔贝克	,1.90	,3.70	,2.92	,1.94	,3.65	,2.86	,1.60	,4.20	,4.70	,2.25	,3.80	,2.80	,1	,0	,平手	,0.83	,1.07	,0	,0	,0-4	
http://bf.win007.com/football/Over_20201222.htm	,http://op1.win007.com/oddslist/1917982.htm	,2020.12.23	,葡超	,布拉加	,里奥阿维	,1.48	,3.65	,5.30	,1.42	,3.75	,5.95	,1.57	,4.25	,5.40	,1.65	,3.90	,5.10	,0	,1	,半球/一球	,0.80	,1.11	,3	,3	,3-0	
http://bf.win007.com/football/Over_20201222.htm	,http://op1.win007.com/oddslist/1913924.htm	,2020.12.23	,西甲	,瓦拉多利德	,巴塞罗那	,6.75	,4.30	,1.32	,7.75	,4.75	,1.25	,7.25	,4.70	,1.37	,6.25	,4.80	,1.45	,0	,0	,受让一球/球半	,0.93	,0.97	,0	,0	,0-3	
http://bf.win007.com/football/Over_20201221.htm	,http://op1.win007.com/oddslist/1903929.htm	,2020.12.22	,英超	,切尔西	,西汉姆联	,1.36	,4.25	,5.95	,1.35	,4.30	,6.05	,1.43	,4.50	,6.25	,1.57	,4.20	,5.75	,0	,0	,一球	,1.05	,0.85	,3	,3	,3-0	
http://bf.win007.com/football/Over_20201220.htm	,http://op1.win007.com/oddslist/1903926.htm	,2020.12.21	,英超	,曼彻斯特联	,利兹联	,1.60	,3.85	,3.95	,1.46	,4.20	,4.65	,1.63	,3.95	,4.70	,1.73	,4.00	,4.40	,0	,0	,半球/一球	,0.90	,1.00	,3	,3	,6-2	
http://bf.win007.com/football/Over_20201220.htm	,http://op1.win007.com/oddslist/1917976.htm	,2020.12.21	,葡超	,吉维森特	,本菲卡	,7.65	,4.65	,1.26	,7.30	,4.55	,1.28	,8.00	,5.20	,1.35	,6.60	,4.60	,1.45	,1	,0	,受让一球/球半	,0.89	,1.00	,0	,0	,0-2	
http://bf.win007.com/football/Over_20201220.htm	,http://op1.win007.com/oddslist/1858833.htm	,2020.12.21	,巴西甲	,弗拉门戈	,巴伊亚	,1.27	,4.65	,7.30	,1.22	,5.20	,8.00	,1.33	,5.25	,8.25	,1.33	,5.50	,8.00	,0	,1	,球半	,0.95	,0.94	,3	,3	,4-3	
http://bf.win007.com/football/Over_20201219.htm	,http://op1.win007.com/oddslist/1872617.htm	,2020.12.19	,日职联	,大阪钢巴	,清水鼓动	,1.61	,3.95	,3.80	,1.71	,3.85	,3.40	,1.40	,4.80	,6.70	,1.73	,3.95	,4.05	,1	,0	,半球	,1.05	,0.85	,0	,0	,0-2	
http://bf.win007.com/football/Over_20201219.htm	,http://op1.win007.com/oddslist/1872622.htm	,2020.12.19	,日职联	,FC东京	,神户胜利船	,1.64	,3.80	,3.75	,1.73	,3.58	,3.55	,1.57	,4.35	,4.60	,1.75	,3.90	,3.95	,1	,0	,半球	,1.03	,0.87	,3	,3	,1-0	
