当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,inter主胜初赔,inter平局初赔,inter客胜初赔,inter主胜终赔,inter平局终赔,inter客胜终赔,主胜是否有凯利≥1,客胜是否有凯利≥1,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队,比分
http://bf.win007.com/football/Over_20200731.htm	,http://op1.win007.com/oddslist/1841035.htm	,2020.08.01	,法联杯	,巴黎圣日尔曼	,里昂	,1.39	,4.30	,5.50	,1.41	,4.20	,5.35	,1.40	,4.80	,8.25	,1.55	,4.20	,5.50	,0	,0	,一球	,0.97	,0.92	,1	,0	,0-0	
http://bf.win007.com/football/Over_20200730.htm	,http://op1.win007.com/oddslist/1876844.htm	,2020.07.31	,挪超	,罗森博格	,维京	,1.66	,3.65	,3.90	,1.77	,3.50	,3.55	,1.40	,4.50	,7.25	,2.00	,3.50	,3.35	,0	,1	,半球	,1.02	,0.88	,3	,3	,3-0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1882944.htm	,2020.07.29	,韩足总	,蔚山现代	,江原FC	,1.51	,3.75	,4.90	,1.53	,3.70	,4.75	,1.43	,4.70	,6.25	,1.67	,3.75	,4.50	,0	,1	,半球/一球	,0.961	,0.929	,3	,3	,3-0	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1876837.htm	,2020.07.29	,挪超	,基斯迪辛特	,桑德菲杰	,1.45	,4.05	,5.10	,1.50	,3.90	,4.75	,1.55	,4.10	,5.50	,1.50	,4.10	,6.00	,0	,1	,一球	,0.86	,1.04	,3	,0	,3-1	
http://bf.win007.com/football/Over_20200729.htm	,http://op1.win007.com/oddslist/1763764.htm	,2020.07.30	,意甲	,卡利亚里	,尤文图斯	,5.85	,4.10	,1.39	,5.85	,4.10	,1.39	,7.00	,4.20	,1.47	,6.25	,4.30	,1.50	,0	,0	,受让一球	,1.05	,0.86	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200728.htm	,http://op1.win007.com/oddslist/1763768.htm	,2020.07.29	,意甲	,帕尔马	,亚特兰大	,7.25	,5.25	,1.24	,6.00	,4.53	,1.34	,8.75	,5.50	,1.33	,7.50	,5.50	,1.37	,1	,0	,受让球半	,0.90	,0.99	,0	,3	,1-2	
http://bf.win007.com/football/Over_20200727.htm	,http://op1.win007.com/oddslist/1876418.htm	,2020.07.28	,瑞典超	,哈马比	,奥雷布洛	,1.46	,3.90	,5.20	,1.37	,4.25	,5.90	,1.50	,4.30	,6.25	,1.60	,4.10	,5.25	,0	,0	,一球	,1.00	,0.88	,3	,3	,3-0	
http://bf.win007.com/football/Over_20200726.htm	,http://op1.win007.com/oddslist/1763761.htm	,2020.07.27	,意甲	,尤文图斯	,桑普多利亚	,1.16	,5.80	,10.00	,1.19	,5.50	,9.00	,1.25	,6.00	,12.00	,1.30	,6.00	,11.00	,0	,1	,球半	,0.88	,1.03	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200725.htm	,http://op1.win007.com/oddslist/1876829.htm	,2020.07.25	,挪超	,奥德格伦兰	,奥勒松	,1.59	,3.80	,4.15	,1.65	,3.75	,3.85	,1.63	,3.85	,4.80	,1.77	,3.60	,4.10	,0	,1	,半球/一球	,1.06	,0.84	,3	,3	,3-2	
http://bf.win007.com/football/Over_20200725.htm	,http://op1.win007.com/oddslist/1763753.htm	,2020.07.26	,意甲	,热那亚	,国际米兰	,4.75	,3.95	,1.49	,5.50	,4.20	,1.40	,5.75	,4.10	,1.60	,7.25	,4.60	,1.45	,1	,0	,受让一球/球半	,0.88	,1.03	,0	,0	,0-3	
http://bf.win007.com/football/Over_20200724.htm	,http://op1.win007.com/oddslist/1875531.htm	,2020.07.24	,美职业	,洛杉矶FC	,波特兰伐木者	,1.58	,4.10	,3.90	,1.51	,4.10	,4.40	,1.60	,4.20	,5.00	,1.65	,4.20	,4.50	,0	,1	,一球	,0.97	,0.92	,1	,0	,2-2	
http://bf.win007.com/football/Over_20200723.htm	,http://op1.win007.com/oddslist/1876407.htm	,2020.07.24	,瑞典超	,哥德堡	,法尔肯堡	,1.65	,3.35	,4.35	,1.54	,3.50	,5.10	,1.50	,3.80	,7.25	,1.57	,3.75	,6.00	,0	,1	,一球	,1.11	,0.80	,1	,3	,2-2	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1721327.htm	,2020.07.22	,俄超	,莫斯科中央陆军	,坦波夫斯巴达	,1.22	,4.90	,9.00	,1.22	,4.90	,9.00	,1.30	,5.25	,10.00	,1.30	,5.25	,9.50	,0	,1	,球半	,1.02	,0.88	,3	,3	,2-0	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1721333.htm	,2020.07.22	,俄超	,乌拉尔	,莫斯科火车头	,4.10	,3.60	,1.64	,3.75	,3.50	,1.72	,7.00	,4.70	,1.40	,3.05	,3.40	,2.25	,1	,1	,受让平手/半球	,0.92	,0.97	,0	,0	,0-1	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1722038.htm	,2020.07.23	,英超	,曼彻斯特联	,西汉姆联	,1.17	,5.60	,10.00	,1.16	,5.70	,10.50	,1.23	,6.20	,12.00	,1.30	,6.00	,10.00	,0	,1	,球半/两球	,1.07	,0.84	,1	,0	,1-1	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1876406.htm	,2020.07.23	,瑞典超	,佐加顿斯	,奥斯特桑斯	,1.28	,4.40	,8.00	,1.30	,4.30	,7.60	,1.33	,4.90	,9.50	,1.45	,4.30	,7.00	,0	,1	,一球/球半	,1.09	,0.81	,1	,1	,0-0	
http://bf.win007.com/football/Over_20200722.htm	,http://op1.win007.com/oddslist/1876413.htm	,2020.07.23	,瑞典超	,诺科平	,瓦尔贝里	,1.30	,4.40	,7.25	,1.30	,4.40	,7.25	,1.35	,4.70	,9.00	,1.37	,4.70	,8.00	,0	,1	,一球/球半	,0.87	,1.03	,3	,3	,2-0	
