当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200426.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1865760	,2020.04.26	,塔吉克联	,帕米尔火车头	,哈特隆	,受让平手/半球	,受让平手/半球	,0.89/0.71	,2.5/3	,3	,0.71/0.89	,3.5	,0.79/0.91	,2	,5	,1	,1	
http://bf.win007.com/football/Over_20200424.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1784101	,2020.08.02	,澳洲甲	,新城堡联队	,西部联	,平手/半球	,半球	,1.01/0.89	,2.5	,2.5/3	,0.92/0.96	,2.5	,0.87/1.00	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200412.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1735157	,2020.05.30	,德乙	,奥斯纳布鲁克	,雷根斯堡	,平手/半球	,平手/半球	,0.96/0.93	,2.5	,2.5/3	,0.91/0.97	,3.5	,0.91/0.96	,2	,4	,0	,0	
http://bf.win007.com/football/Over_20200412.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1735149	,2020.05.30	,德乙	,达姆斯塔特	,菲尔特	,平手/半球	,半球	,1.08/0.82	,2.5	,2.5/3	,1.00/0.88	,1.5	,1.00/0.87	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20200412.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1755888	,2020.06.29	,土超	,加辛塔BB	,安塔利亚体育	,平手/半球	,平手/半球	,0.91/0.99	,2.5	,2.5/3	,0.83/1.03	,1.5	,1.03/0.83	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20200405.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1745174	,2020.06.20	,葡超	,法马利卡奥	,布拉加	,受让平手/半球	,受让半球	,0.99/0.90	,2.5	,2.5/3	,0.90/0.97	,1.5	,1.04/0.82	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200405.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1755877	,2020.06.23	,土超	,阿兰亚斯堡	,特拉布宗体育	,平手	,平手	,0.99/0.91	,2.5	,2.5/3	,1.02/0.84	,3.5	,0.96/0.90	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200404.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1831318	,2020.08.08	,韩K联	,大邱FC	,全北现代	,受让平手/半球	,受让半球/一球	,0.99/0.90	,2.5	,2.5/3	,0.959/0.911	,3.5	,0.96/0.90	,2	,2	,0	,0	
http://bf.win007.com/football/Over_20200401.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1865632	,2020.04.02	,尼拉U20	,奥科塔尔U20	,幕尼西波尔哈拉帕U20	,平手/半球	,受让平手/半球	,1.11/0.50	,2.5	,2.5/3	,0.65/0.95	,大小球变化表没有时间和比分	
