当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20210131.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1962250	,2021.01.31	,墨西联	,提华纳	,托卢卡	,平手/半球	,半球	,0.91/0.98	,2.5	,2.5/3	,0.94/0.92	,5.5	,0.87/0.99	,4	,5	,0	,0	
http://bf.win007.com/football/Over_20210131.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1880273	,2021.01.31	,匈甲	,萨拉格斯基	,保克什	,平手/半球	,平手/半球	,0.91/0.93	,2.5	,2.5/3	,0.85/0.97	,大小球变化表没有时间和比分	
http://bf.win007.com/football/Over_20210131.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1915461	,2021.01.31	,意甲	,卡利亚里	,森索罗	,受让平手/半球	,平手	,1.00/0.90	,2.5/3	,3	,0.96/0.94	,1.5	,0.90/0.98	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20210131.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1972087	,2021.01.31	,沙地联	,卡达西亚	,瓦赫达麦加	,平手	,受让平手/半球	,0.88/0.94	,2.5	,2.5/3	,1.04/0.76	,3.5	,0.86/1.00	,2	,4	,1	,0	
http://bf.win007.com/football/Over_20210131.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1950519	,2021.02.01	,智利甲	,库里科	,西班牙联合	,平手/半球	,平手	,0.79/1.09	,2.5	,2.5/3	,0.99/0.87	,3.5	,1.00/0.86	,2	,5	,1	,0	
http://bf.win007.com/football/Over_20210130.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1895024	,2021.01.30	,德乙	,雷根斯堡	,达姆斯塔特	,平手	,平手	,0.96/0.93	,2.5	,2.5/3	,1.00/0.88	,2.5	,1.00/0.87	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20210130.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1905761	,2021.01.30	,英甲	,布里斯托流浪	,罗奇代尔	,平手/半球	,半球	,1.02/0.86	,2.5/3	,3	,1.01/0.85	,大小球变化表没有时间和比分	
http://bf.win007.com/football/Over_20210130.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1972082	,2021.01.30	,沙地联	,伊蒂法克	,伊蒂哈德	,平手	,平手	,1.00/0.88	,2.5	,2.5/3	,0.88/0.98	,大小球变化表没有时间和比分	
http://bf.win007.com/football/Over_20210130.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1888122	,2021.01.31	,波兰超	,列治亚	,乔治罗尼亚	,平手/半球	,半球	,0.86/1.04	,2.5	,2.5/3	,0.93/0.93	,2.5	,0.83/1.03	,1	,2	,1	,1	
http://bf.win007.com/football/Over_20210130.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1888119	,2021.01.31	,波兰超	,萨比利斯	,莱克普斯纳	,平手	,受让平手/半球	,1.01/0.88	,2.5	,2.5/3	,1.01/0.85	,2.5	,1.02/0.84	,1	,2	,0	,0	
