当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200331.htm	,http://live.win007.com/detail/1865663cn.htm	,2020.04.01	,球会友谊	,菲提亚	,阿弗里坎斯卡FC	,受让平手/半球	,受让平手/半球	,0.70/1.00	,4	,4	,0.89/0.81	,5/5.5	,0.80/0.90	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20200331.htm	,http://live.win007.com/detail/1686850cn.htm	,2020.11.17	,欧青U21外	,克罗地亚U21	,立陶宛U21	,两球半	,两球/两球半	,1.03/0.79	,3.5	,3/3.5	,0.89/0.91	,5	,1.12/0.75	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20200328.htm	,http://live.win007.com/detail/1862280cn.htm	,2020.03.28	,球会友谊	,赫根	,尤特斯科腾	,两球半	,三球/三球半	,0.85/0.85	,3.5/4	,4.5	,0.82/0.88	,没有中场或45或46	,没有中场或45或46	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200328.htm	,http://live.win007.com/detail/1865440cn.htm	,2020.03.28	,球会友谊	,托阿普沙里安森女足	,布拉姆胡特女足	,受让两球半/三球	,受让两球半/三球	,0.85/0.85	,4.5/5	,4.5/5	,0.80/0.90	,2.5/3	,0.77/0.93	,1	,7	,5	,1	,0	
http://bf.win007.com/football/Over_20200328.htm	,http://live.win007.com/detail/1865414cn.htm	,2020.03.28	,球会友谊	,艾基图纳所达	,埃斯基尔斯巴比伦	,半球	,半球	,1.11/0.60	,4/4.5	,4/4.5	,0.90/0.80	,2.5	,0.74/0.96	,1	,8	,5	,2	,1	
http://bf.win007.com/football/Over_20200328.htm	,http://live.win007.com/detail/1865427cn.htm	,2020.03.29	,尼拉U20	,埃斯特利U20	,拉斯萨巴纳斯U20	,两球半	,三球/三球半	,0.75/0.95	,4	,5	,0.91/0.79	,5	,0.70/1.00	,2	,8	,4	,2	,2	
http://bf.win007.com/football/Over_20200324.htm	,http://live.win007.com/detail/1863479cn.htm	,2020.03.25	,球会友谊	,图默利拉IF	,隆德U19	,一球/球半	,球半/两球	,0.86/0.96	,4/4.5	,4/4.5	,1.02/0.78	,5/5.5	,0.89/0.91	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20200322.htm	,http://live.win007.com/detail/1862891cn.htm	,2020.03.22	,球会友谊	,LFKB莫斯科	,PF莫斯科	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200322.htm	,http://live.win007.com/detail/1862872cn.htm	,2020.03.22	,球会友谊	,托尔恩格鲁本	,马利赫姆	,半球/一球	,球半	,0.82/1.00	,4	,3.5/4	,0.84/0.96	,5	,0.82/0.98	,3	,8	,3	,2	,0	
http://bf.win007.com/football/Over_20200322.htm	,http://live.win007.com/detail/1862873cn.htm	,2020.03.22	,球会友谊	,柏根台女足	,桑德比女足	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,2	,6	,4	,0	,0	
