当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20201129.htm	,http://live.win007.com/detail/1873296cn.htm	,2020.11.29	,日职乙	,金泽	,德岛漩涡	,受让半球	,受让半球/一球	,0.86/1.04	,2.5	,2.5	,0.86/1.02	,5.5	,0.90/0.97	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20201129.htm	,http://live.win007.com/detail/1952205cn.htm	,2020.11.29	,中协杯	,广州富力	,苏州东吴	,球半	,两球半	,0.90/0.92	,2.5/3	,3.5/4	,0.96/0.84	,4.5	,0.90/0.90	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20201129.htm	,http://live.win007.com/detail/1871633cn.htm	,2020.11.29	,拉脱超	,叶尔加瓦	,利耶帕亚	,受让两球/两球半	,受让两球/两球半	,1.25/0.50	,3.5/4	,3.5/4	,1.03/0.67	,5.5	,1.11/0.70	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20201129.htm	,http://live.win007.com/detail/1953517cn.htm	,2020.11.29	,英足总杯	,布里斯托流浪	,达宁顿	,球半	,一球	,0.98/0.84	,3	,2.5/3	,0.85/0.95	,5.5	,0.98/0.88	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20201128.htm	,http://live.win007.com/detail/1953511cn.htm	,2020.11.28	,英足总杯	,朴茨茅斯	,京士拉	,球半/两球	,球半/两球	,0.78/1.04	,3	,3/3.5	,0.98/0.82	,3.5/4	,0.96/0.90	,2	,7	,4	,1	,1	
http://bf.win007.com/football/Over_20201128.htm	,http://live.win007.com/detail/1890153cn.htm	,2020.11.29	,比甲	,色格拉布鲁日	,亨克	,受让半球	,受让半球	,0.92/0.98	,3	,3	,0.99/0.88	,5.5/6	,1.06/0.80	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20201127.htm	,http://live.win007.com/detail/1913682cn.htm	,2020.11.27	,卡塔尔联	,加拉法	,阿尔科尔	,一球	,半球/一球	,0.96/0.92	,2.5/3	,2.5	,0.90/0.96	,4.5/5	,1.06/0.80	,3	,9	,3	,3	,1	
http://bf.win007.com/football/Over_20201127.htm	,http://live.win007.com/detail/1894630cn.htm	,2020.11.28	,德甲	,沃尔夫斯堡	,云达不莱梅	,半球/一球	,半球	,0.94/0.96	,2.5/3	,2.5/3	,0.98/0.92	,6.5	,0.95/0.93	,5	,8	,1	,2	,1	
http://bf.win007.com/football/Over_20201127.htm	,http://live.win007.com/detail/1833628cn.htm	,2020.11.28	,玻利甲	,奥利恩特	,玻利瓦尔	,受让平手/半球	,平手/半球	,0.85/0.97	,3/3.5	,3/3.5	,0.96/0.84	,7	,0.94/0.88	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20201122.htm	,http://live.win007.com/detail/1951583cn.htm	,2020.11.22	,葡杯	,化夫	,维拉尔德佩尔迪济斯	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,6	,6	,0	,0	,0	
http://bf.win007.com/football/Over_20201122.htm	,http://live.win007.com/detail/1908150cn.htm	,2020.11.22	,奥甲	,里德	,维也纳快速	,受让一球/球半	,受让球半/两球	,0.86/1.04	,3	,3.5/4	,1.01/0.86	,5/5.5	,1.05/0.81	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20201122.htm	,http://live.win007.com/detail/1934079cn.htm	,2020.11.23	,厄瓜甲	,库恩卡	,奥卡斯	,平手	,受让平手/半球	,0.90/0.80	,2.5/3	,2.5/3	,0.85/0.85	,3.5/4	,0.97/0.85	,2	,6	,4	,0	,0	
http://bf.win007.com/football/Over_20201122.htm	,http://live.win007.com/detail/1950479cn.htm	,2020.11.23	,智利甲	,智利天主大学	,安托法加斯塔	,一球/球半	,一球/球半	,1.08/0.80	,2.5/3	,2.5/3	,0.81/1.05	,5.5/6	,0.95/0.91	,4	,8	,2	,2	,2	
http://bf.win007.com/football/Over_20201121.htm	,http://live.win007.com/detail/1872563cn.htm	,2020.11.21	,日职联	,札幌冈萨多	,清水鼓动	,半球	,半球	,0.89/1.00	,3	,3/3.5	,0.96/0.92	,5.5/6	,0.89/0.98	,4	,6	,2	,0	,0	
