当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20210228.htm	,http://live.win007.com/detail/1975558cn.htm	,2021.02.28	,瑞典杯	,IF洛迪	,奥雷布洛	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20210227.htm	,http://live.win007.com/detail/1885562cn.htm	,2021.02.27	,俄甲	,恰卡	,辛历克	,半球	,半球	,0.84/0.98	,2.5	,2.5	,1.01/0.79	,6.5	,1.06/0.80	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20210224.htm	,http://live.win007.com/detail/1845257cn.htm	,2021.02.24	,泰甲	,廊莫那浦府	,沙木沙克	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20210224.htm	,http://live.win007.com/detail/1911187cn.htm	,2021.02.24	,土甲	,萨姆松珀	,埃斯基谢希尔体育	,两球/两球半	,两球/两球半	,0.98/0.84	,3/3.5	,3/3.5	,1.05/0.75	,4.5/5	,0.89/0.93	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20210224.htm	,http://live.win007.com/detail/1964139cn.htm	,2021.02.24	,印度超	,奥迪萨	,孟买城	,受让一球	,受让球半	,0.89/0.97	,2.5	,3/3.5	,0.94/0.90	,7	,0.92/0.92	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20210220.htm	,http://live.win007.com/detail/1911178cn.htm	,2021.02.20	,土甲	,梅内门	,阿卡沙	,平手/半球	,平手/半球	,0.97/0.87	,2.5	,3.5	,0.98/0.84	,6.5	,0.98/0.84	,5	,8	,1	,2	,2	
http://bf.win007.com/football/Over_20210220.htm	,http://live.win007.com/detail/1975550cn.htm	,2021.02.20	,瑞典杯	,桑德维根斯	,哥德堡	,受让球半/两球	,受让球半/两球	,0.82/1.00	,3	,3	,0.91/0.89	,3.5/4	,1.01/0.85	,2	,7	,4	,1	,0	
http://bf.win007.com/football/Over_20210220.htm	,http://live.win007.com/detail/1888138cn.htm	,2021.02.20	,波兰超	,华沙莱吉亚	,华沙普洛克	,一球/球半	,半球/一球	,0.84/1.06	,2.5	,2/2.5	,0.91/0.95	,6/6.5	,0.91/0.95	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20210219.htm	,http://live.win007.com/detail/1977978cn.htm	,2021.02.19	,黑山甲	,鲁达	,迪托格特	,平手/半球	,半球	,0.76/0.94	,1.5/2	,2	,0.79/0.91	,6	,0.65/1.05	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20210218.htm	,http://live.win007.com/detail/1959329cn.htm	,2021.02.19	,欧罗巴杯	,年青人	,勒沃库森	,受让平手/半球	,受让平手/半球	,0.85/1.05	,2.5/3	,3	,1.06/0.82	,4.5/5	,0.80/1.07	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20210218.htm	,http://live.win007.com/detail/1959323cn.htm	,2021.02.19	,欧罗巴杯	,莫尔德	,霍芬海姆	,受让半球/一球	,受让一球/球半	,0.97/0.92	,2.5/3	,3	,0.90/0.98	,5.5/6	,0.80/1.07	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20210217.htm	,http://live.win007.com/detail/1843299cn.htm	,2021.02.17	,泰超	,北榄城	,蒙通联	,平手	,受让平手/半球	,0.88/0.94	,3	,2.5/3	,0.85/0.85	,7.5/8	,0.77/1.05	,6	,6	,0	,0	,0	
http://bf.win007.com/football/Over_20210215.htm	,http://live.win007.com/detail/1894731cn.htm	,2021.02.16	,德甲	,拜仁慕尼黑	,比勒菲尔德	,两球半	,两球/两球半	,1.07/0.82	,3.5/4	,3/3.5	,0.84/1.04	,4/4.5	,1.09/0.79	,2	,6	,4	,0	,0	
http://bf.win007.com/football/Over_20210215.htm	,http://live.win007.com/detail/1964804cn.htm	,2021.02.16	,哥伦乙	,瓦伦杜帕尔	,波哥塔	,半球/一球	,半球	,0.99/0.83	,2/2.5	,2/2.5	,0.92/0.88	,5.5	,1.03/0.77	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20210214.htm	,http://live.win007.com/detail/1893054cn.htm	,2021.02.14	,捷甲	,布拉格斯巴达	,卡尔维纳	,球半	,一球/球半	,1.01/0.87	,3	,2.5/3	,0.87/0.99	,6.5	,0.96/0.90	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20210214.htm	,http://live.win007.com/detail/1907187cn.htm	,2021.02.15	,英超	,阿森纳	,利兹联	,半球	,半球/一球	,1.09/0.80	,3	,3	,1.01/0.87	,4.5	,0.87/1.01	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20210212.htm	,http://live.win007.com/detail/1949257cn.htm	,2021.02.13	,新西兰联	,惠灵顿	,伊斯特恩沙伯奥克兰	,半球	,半球	,0.80/1.02	,3.5/4	,3.5/4	,0.90/0.90	,4	,0.91/0.93	,2	,7	,4	,1	,1	
