当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20201029.htm	,http://live.win007.com/detail/1940510cn.htm	,2020.10.29	,乌兹超	,布哈拉	,索格迪纳吉扎克	,受让平手/半球	,受让平手/半球	,0.64/1.21	,2/2.5	,2/2.5	,1.11/0.70	,5/5.5	,1.14/0.73	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20201029.htm	,http://live.win007.com/detail/1945961cn.htm	,2020.10.29	,乌兹甲	,努库斯咸海	,锆石	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20201029.htm	,http://live.win007.com/detail/1936935cn.htm	,2020.10.30	,欧罗巴杯	,贝尔格莱德红星	,利贝雷茨	,半球/一球	,半球/一球	,0.83/1.05	,2.5/3	,2/2.5	,0.94/0.92	,4/4.5	,0.86/1.01	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20201028.htm	,http://live.win007.com/detail/1932648cn.htm	,2020.10.29	,美职业	,波特兰伐木者	,洛杉矶银河	,半球	,半球/一球	,1.04/0.86	,3/3.5	,3/3.5	,1.01/0.87	,4.5/5	,1.01/0.86	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20201026.htm	,http://live.win007.com/detail/1913667cn.htm	,2020.10.26	,卡塔尔联	,赛利亚	,加拉法	,受让平手/半球	,受让半球/一球	,1.14/0.75	,3	,2.5/3	,0.97/0.89	,5.5	,0.78/1.08	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20201026.htm	,http://live.win007.com/detail/1943093cn.htm	,2020.10.27	,荷兰杯	,前进之鹰	,布雷达	,平手/半球	,半球	,0.72/0.98	,2.5/3	,2.5	,0.83/0.87	,6.5/7	,0.90/0.92	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20201025.htm	,http://live.win007.com/detail/1870296cn.htm	,2020.10.25	,芬甲	,VPS瓦萨	,格尼斯坦	,半球	,平手/半球	,1.04/0.86	,3	,3	,1.04/0.83	,6.5	,1.08/0.78	,5	,8	,1	,2	,1	
http://bf.win007.com/football/Over_20201025.htm	,http://live.win007.com/detail/1873440cn.htm	,2020.10.25	,挪甲	,利勒斯特罗姆	,桑德尼斯	,一球/球半	,球半/两球	,0.96/0.92	,3	,3	,0.81/1.05	,5.5/6	,0.93/0.93	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20201024.htm	,http://live.win007.com/detail/1887522cn.htm	,2020.10.24	,苏冠	,南部女王	,拉茨流浪者	,平手	,平手	,1.03/0.81	,2.5	,2.5	,0.91/0.91	,没有中场或45或46	,没有中场或45或46	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20201024.htm	,http://live.win007.com/detail/1870298cn.htm	,2020.11.08	,芬甲	,奥卢	,MP米克力	,两球/两球半	,三球	,0.60/1.28	,3	,3.5/4	,0.67/1.14	,5.5/6	,0.99/0.87	,3	,6	,3	,0	,0	
