当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200630.htm	,http://live.win007.com/detail/1740846cn.htm	,2020.07.01	,西甲	,马洛卡	,塞尔塔	,受让平手/半球	,平手	,1.13/0.79	,2	,2/2.5	,1.05/0.85	,4.5	,1.05/0.83	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200627.htm	,http://live.win007.com/detail/1867355cn.htm	,2020.06.27	,奥甲	,奥地利维也纳	,圣珀尔滕	,半球/一球	,半球	,1.05/0.85	,2.5	,2.5/3	,0.97/0.90	,5.5	,1.06/0.80	,4	,7	,2	,1	,1	
http://bf.win007.com/football/Over_20200627.htm	,http://live.win007.com/detail/1763680cn.htm	,2020.06.28	,意甲	,卡利亚里	,都灵	,平手	,平手/半球	,1.19/0.75	,2.5	,2/2.5	,1.04/0.86	,3.5	,1.01/0.87	,2	,6	,4	,0	,0	
http://bf.win007.com/football/Over_20200619.htm	,http://live.win007.com/detail/1861754cn.htm	,2020.06.19	,越南甲	,甫宪	,芹苴	,一球	,平手/半球	,0.78/0.92	,2.5/3	,2/2.5	,0.77/0.93	,6.5	,0.86/0.84	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200615.htm	,http://live.win007.com/detail/1736648cn.htm	,2020.06.15	,捷乙	,布尔诺	,伊赫拉瓦	,半球/一球	,一球	,0.95/0.89	,2.5/3	,3/3.5	,0.96/0.86	,4.5	,0.79/1.03	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20200614.htm	,http://live.win007.com/detail/1831352cn.htm	,2020.06.14	,韩K联	,大邱FC	,FC首尔	,半球	,半球	,0.84/1.06	,2/2.5	,2/2.5	,0.93/0.94	,4/4.5	,0.80/1.06	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200613.htm	,http://live.win007.com/detail/1732289cn.htm	,2020.06.14	,保超	,索非亚斯拉维亚	,贝尔罗	,半球	,平手/半球	,1.08/0.76	,2	,2/2.5	,0.98/0.84	,5/5.5	,0.81/1.01	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200612.htm	,http://live.win007.com/detail/1869149cn.htm	,2020.06.12	,白俄后备	,利文哥特奴后备队	,斯莫列维奇后备队	,一球	,两球	,0.86/0.84	,3	,3.5/4	,0.83/0.87	,5	,1.07/0.73	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200611.htm	,http://live.win007.com/detail/1850048cn.htm	,2020.06.11	,越南联	,岘港	,广南FC	,半球	,平手/半球	,0.76/1.00	,2.5	,2.5/3	,0.95/0.81	,没有中场或45或46	,没有中场或45或46	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200610.htm	,http://live.win007.com/detail/1867316cn.htm	,2020.06.11	,奥甲	,格拉茨风暴	,萨尔茨堡	,受让一球/球半	,受让球半	,0.98/0.92	,3	,3.5	,0.96/0.91	,7	,1.03/0.83	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200609.htm	,http://live.win007.com/detail/1783656cn.htm	,2020.12.01	,女欧国杯	,捷克女足	,摩尔多瓦女足	,五球	,四球半/五球	,0.40/1.25	,5/5.5	,5/5.5	,0.70/0.90	,9	,0.96/0.84	,5	,7	,1	,1	,1	
http://bf.win007.com/football/Over_20200606.htm	,http://live.win007.com/detail/1868730cn.htm	,2020.06.06	,韩足总	,金海	,天安城	,平手/半球	,平手/半球	,0.96/0.80	,2.5	,2.5	,0.98/0.78	,没有中场或45或46	,没有中场或45或46	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200606.htm	,http://live.win007.com/detail/1868611cn.htm	,2020.06.07	,白俄超	,比斯特迪纳摩	,明斯克	,一球/球半	,一球/球半	,0.90/0.92	,2.5/3	,3/3.5	,0.96/0.84	,3.5/4	,0.98/0.82	,2	,7	,4	,1	,1	
http://bf.win007.com/football/Over_20200601.htm	,http://live.win007.com/detail/1734388cn.htm	,2020.06.02	,德甲	,科隆	,RB莱比锡	,受让半球/一球	,受让一球	,1.07/0.84	,3	,3/3.5	,0.95/0.95	,4.5/5	,0.98/0.90	,3	,6	,3	,0	,0	
