当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200530.htm	,http://live.win007.com/detail/1733667cn.htm	,2020.05.30	,捷甲	,皮尔森	,博雷斯拉夫	,一球/球半	,球半	,0.86/1.02	,2.5/3	,3	,0.88/0.98	,5.5/6	,0.89/0.97	,4	,8	,2	,2	,2	
http://bf.win007.com/football/Over_20200529.htm	,http://live.win007.com/detail/1738059cn.htm	,2020.05.30	,匈甲	,卡波斯瓦里	,萨拉格斯基	,受让半球	,受让一球/球半	,0.88/0.96	,2.5/3	,3	,0.80/1.02	,7	,1.04/0.78	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200523.htm	,http://live.win007.com/detail/1867554cn.htm	,2020.05.23	,法罗甲	,B36拖锡云	,史卡拉	,两球半	,两球半	,0.85/0.85	,3.5/4	,3/3.5	,0.77/0.93	,7	,0.82/0.88	,5	,8	,1	,2	,2	
http://bf.win007.com/football/Over_20200521.htm	,http://live.win007.com/detail/1865887cn.htm	,2020.05.21	,布隆迪超	,穆桑加蒂	,奥运竞技	,一球/球半	,一球/球半	,0.90/0.80	,2.5	,2.5	,0.76/0.94	,7	,0.70/1.00	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200521.htm	,http://live.win007.com/detail/1868639cn.htm	,2020.05.21	,球会友谊	,卡尔维纳	,弗里德克	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,3	,7	,3	,1	,0	
http://bf.win007.com/football/Over_20200520.htm	,http://live.win007.com/detail/1868588cn.htm	,2020.05.20	,球会友谊	,奥林巴斯FC	,凯伦FC	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,2	,8	,4	,2	,2	
http://bf.win007.com/football/Over_20200519.htm	,http://live.win007.com/detail/1868245cn.htm	,2020.05.19	,球会友谊	,济斯科夫	,塔波斯科	,一球	,两球	,1.01/0.69	,3.5	,4	,0.90/0.80	,4.5/5	,0.70/1.00	,3	,9	,3	,3	,3	
http://bf.win007.com/football/Over_20200516.htm	,http://live.win007.com/detail/1866854cn.htm	,2020.05.16	,白俄后备	,伯希纳博布鲁伊斯克后备队	,维特布斯克后备队	,半球	,球半/两球	,0.87/0.83	,3/3.5	,3.5/4	,0.87/0.83	,5/5.5	,0.94/0.76	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200513.htm	,http://live.win007.com/detail/1867939cn.htm	,2020.05.13	,球会友谊	,南定	,海防水泥队	,平手/半球	,平手/半球	,0.95/0.75	,4	,4	,0.95/0.75	,4/4.5	,0.82/0.88	,3	,9	,3	,3	,3	
http://bf.win007.com/football/Over_20200513.htm	,http://live.win007.com/detail/1868103cn.htm	,2020.05.13	,球会友谊	,布尔诺	,乌尼邱夫	,两球	,两球半/三球	,0.90/0.70	,3.5/4	,4.5	,0.60/1.00	,没有中场或45或46	,没有中场或45或46	,5	,6	,1	,0	,0	
http://bf.win007.com/football/Over_20200513.htm	,http://live.win007.com/detail/1727172cn.htm	,2020.07.26	,瑞士超	,巴塞尔	,卢加诺	,一球	,半球/一球	,0.94/0.95	,3	,3	,0.92/0.95	,6.5/7	,0.88/0.98	,5	,8	,1	,2	,1	
http://bf.win007.com/football/Over_20200512.htm	,http://live.win007.com/detail/1868105cn.htm	,2020.05.12	,球会友谊	,布拉格斯巴达	,伊赫拉瓦	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,2	,7	,4	,1	,1	
http://bf.win007.com/football/Over_20200511.htm	,http://live.win007.com/detail/1867429cn.htm	,2020.05.11	,白俄女超	,迪尼伯女足	,明斯克戴拿模女足	,受让七球/七球半	,受让七球/七球半	,0.82/0.88	,8	,8/8.5	,0.85/0.85	,9/9.5	,0.71/0.99	,5	,7	,1	,1	,0	
http://bf.win007.com/football/Over_20200510.htm	,http://live.win007.com/detail/1867111cn.htm	,2020.05.10	,白俄乙	,奥斯特罗韦茨	,柴卡塞瓦	,三球/三球半	,四球/四球半	,0.75/0.85	,4/4.5	,5/5.5	,0.62/0.98	,4.5	,0.55/1.17	,2	,8	,4	,2	,1	
