当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,下半场75前进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200731.htm	,http://live.win007.com/detail/1727178cn.htm	,2020.08.01	,瑞士超	,圣加仑	,纳沙泰尔	,球半/两球	,两球/两球半	,1.04/0.86	,3.5	,4	,0.99/0.88	,6	,0.81/1.05	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200727.htm	,http://live.win007.com/detail/1873931cn.htm	,2020.07.27	,韩女联	,庆州FC女足	,报恩尚武女足	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200726.htm	,http://live.win007.com/detail/1727172cn.htm	,2020.07.26	,瑞士超	,巴塞尔	,卢加诺	,一球	,半球/一球	,0.94/0.95	,3	,3	,0.92/0.95	,6.5/7	,0.88/0.98	,5	,8	,1	,2	,1	
http://bf.win007.com/football/Over_20200724.htm	,http://live.win007.com/detail/1770691cn.htm	,2020.07.25	,意乙	,利沃诺	,克罗托内	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200724.htm	,http://live.win007.com/detail/1745238cn.htm	,2020.07.25	,葡超	,吉维森特	,费雷拉	,平手	,平手	,0.80/1.11	,2/2.5	,2.5	,1.06/0.81	,5/5.5	,0.85/1.01	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200723.htm	,http://live.win007.com/detail/1742447cn.htm	,2020.07.23	,乌克甲	,切拉什奇纳	,米尼	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,没有Crown	,无大小球变化表	,无大小球变化表	,2	,8	,4	,2	,2	
http://bf.win007.com/football/Over_20200722.htm	,http://live.win007.com/detail/1727165cn.htm	,2020.07.23	,瑞士超	,图恩	,塞尔维特	,受让平手/半球	,平手	,1.07/0.83	,3	,3	,1.00/0.87	,3.5/4	,0.93/0.93	,2	,6	,4	,0	,0	
http://bf.win007.com/football/Over_20200718.htm	,http://live.win007.com/detail/1874500cn.htm	,2020.07.18	,澳西超	,ECU乔达路普	,FC索伦托	,受让平手/半球	,平手/半球	,1.00/0.82	,3/3.5	,3/3.5	,1.00/0.80	,3.5/4	,0.96/0.88	,2	,7	,4	,1	,1	
http://bf.win007.com/football/Over_20200718.htm	,http://live.win007.com/detail/1728069cn.htm	,2020.07.18	,英冠	,布莱克本	,雷丁	,平手/半球	,平手/半球	,0.88/1.02	,2/2.5	,2.5	,0.90/0.97	,4.5	,1.09/0.77	,3	,7	,3	,1	,1	
http://bf.win007.com/football/Over_20200718.htm	,http://live.win007.com/detail/1728073cn.htm	,2020.07.18	,英冠	,女王公园巡游者	,米尔沃尔	,受让平手/半球	,受让半球/一球	,0.87/1.03	,2.5	,2.5	,1.01/0.86	,2/2.5	,0.79/1.07	,1	,7	,5	,1	,1	
http://bf.win007.com/football/Over_20200715.htm	,http://live.win007.com/detail/1763725cn.htm	,2020.07.16	,意甲	,森索罗	,尤文图斯	,受让一球	,受让半球/一球	,1.02/0.89	,3	,3	,0.88/1.02	,4.5/5	,0.93/0.95	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200713.htm	,http://live.win007.com/detail/1873916cn.htm	,2020.07.13	,韩女联	,首尔亚马逊女足	,世宗龟尾女足	,受让平手/半球	,受让平手/半球	,0.78/0.98	,3	,3	,0.79/0.97	,4.5/5	,0.80/1.00	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200713.htm	,http://live.win007.com/detail/1875124cn.htm	,2020.07.14	,美职业	,洛杉矶FC	,休斯敦迪纳摩	,一球	,半球/一球	,0.87/1.03	,3.5	,3	,0.88/1.00	,6	,1.03/0.84	,4	,6	,2	,0	,0	
http://bf.win007.com/football/Over_20200712.htm	,http://live.win007.com/detail/1875693cn.htm	,2020.07.12	,白俄超	,埃涅尔格提克BGU	,鲁赫布雷斯特	,平手/半球	,平手	,0.81/1.01	,2.5	,2.5	,1.00/0.80	,5.5	,0.87/0.93	,4	,9	,2	,3	,2	
http://bf.win007.com/football/Over_20200712.htm	,http://live.win007.com/detail/1876628cn.htm	,2020.07.13	,乌克超	,德斯纳切尼赫夫	,顿涅茨克矿工	,受让平手/半球	,平手	,0.97/0.85	,2.5/3	,3	,0.92/0.88	,4.5	,0.81/1.05	,3	,6	,3	,0	,0	
http://bf.win007.com/football/Over_20200710.htm	,http://live.win007.com/detail/1825810cn.htm	,2020.07.11	,伊朗超	,沙辛布什尔	,佐伯阿汉	,平手	,受让平手/半球	,0.72/1.13	,2	,2	,1.07/0.75	,3/3.5	,0.98/0.84	,2	,6	,4	,0	,0	
