当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200412.htm	,http://op1.win007.com/oddslist/1740821.htm	,2020.06.25	,西甲	,阿拉维斯	,奥萨苏纳	,2.55	,2.60	,2.75	,2.64	,2.60	,2.64	,平手	,0.80	,1.08	,平手	,1.00	,0.90	,0	,0	
http://bf.win007.com/football/Over_20200405.htm	,http://op1.win007.com/oddslist/1784083.htm	,2020.07.25	,澳洲甲	,惠灵顿凤凰	,阿德莱德联	,1.98	,3.55	,2.90	,2.52	,3.40	,2.26	,平手/半球	,0.93	,0.95	,受让平手/半球	,0.82	,1.08	,1	,0	
http://bf.win007.com/football/Over_20200405.htm	,http://op1.win007.com/oddslist/1735146.htm	,2020.05.28	,德乙	,圣保利	,海登海默	,2.30	,3.03	,2.65	,2.40	,2.95	,2.57	,平手	,0.88	,1.00	,平手	,0.82	,1.08	,1	,1	
http://bf.win007.com/football/Over_20200405.htm	,http://op1.win007.com/oddslist/1721283.htm	,2020.06.26	,俄超	,格罗兹尼特里克	,PFC索治	,2.34	,2.90	,2.70	,2.67	,2.90	,2.35	,平手/半球	,1.07	,0.81	,平手	,1.07	,0.83	,1	,3	
