当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20190130.htm	,http://op1.win007.com/oddslist/1652554.htm	,2019.01.30	,墨西哥杯	,阿特拿斯	,普马斯	,2.01	,3.15	,3.20	,2.45	,3.05	,2.55	,平手/半球	,0.85	,0.97	,平手	,1.00	,0.88	,0	,3	
http://bf.win007.com/football/Over_20190130.htm	,http://op1.win007.com/oddslist/1562246.htm	,2019.01.31	,德乙	,雷根斯堡	,柏德博恩	,2.26	,3.70	,2.40	,2.31	,3.70	,2.35	,平手/半球	,0.98	,0.90	,平手	,1.04	,0.86	,3	,3	
http://bf.win007.com/football/Over_20190129.htm	,http://op1.win007.com/oddslist/1557756.htm	,2019.01.30	,英冠	,博尔顿	,雷丁	,2.40	,3.10	,2.56	,2.53	,3.00	,2.50	,平手/半球	,1.08	,0.80	,受让平手/半球	,0.83	,1.07	,1	,0	
http://bf.win007.com/football/Over_20190128.htm	,http://op1.win007.com/oddslist/1553471.htm	,2019.01.29	,荷乙	,多德勒支	,埃因霍温青年队	,2.28	,3.55	,2.45	,2.40	,3.60	,2.30	,平手	,1.07	,0.81	,平手	,0.92	,0.96	,0	,3	
http://bf.win007.com/football/Over_20190128.htm	,http://op1.win007.com/oddslist/1554019.htm	,2019.01.29	,法乙	,特鲁瓦	,朗斯	,2.45	,2.95	,2.62	,2.63	,2.95	,2.44	,平手/半球	,1.08	,0.80	,受让平手/半球	,0.83	,1.05	,3	,3	
http://bf.win007.com/football/Over_20190127.htm	,http://op1.win007.com/oddslist/1653531.htm	,2019.01.28	,巴圣锦标	,桑托斯	,圣保罗	,2.38	,2.95	,2.70	,2.50	,2.90	,2.60	,平手/半球	,1.05	,0.77	,平手	,1.02	,0.86	,3	,3	
http://bf.win007.com/football/Over_20190127.htm	,http://op1.win007.com/oddslist/1584637.htm	,2019.01.28	,阿甲	,贝尔格拉诺	,圣塔菲联	,2.50	,2.75	,2.75	,2.66	,2.75	,2.57	,平手/半球	,1.05	,0.83	,平手	,1.05	,0.85	,1	,1	
http://bf.win007.com/football/Over_20190126.htm	,http://op1.win007.com/oddslist/1561092.htm	,2019.01.26	,德甲	,沃尔夫斯堡	,勒沃库森	,2.35	,3.30	,2.50	,2.62	,3.30	,2.25	,平手	,0.98	,0.90	,受让平手/半球	,0.86	,1.05	,0	,0	
http://bf.win007.com/football/Over_20190126.htm	,http://op1.win007.com/oddslist/1557759.htm	,2019.01.26	,英冠	,诺维奇	,谢菲尔德联队	,2.27	,3.30	,2.60	,2.33	,3.30	,2.52	,平手/半球	,1.05	,0.83	,平手	,0.77	,1.14	,1	,3	
http://bf.win007.com/football/Over_20190126.htm	,http://op1.win007.com/oddslist/1561091.htm	,2019.01.27	,德甲	,云达不莱梅	,法兰克福	,2.32	,3.55	,2.42	,2.58	,3.30	,2.28	,平手	,1.03	,0.85	,平手	,1.07	,0.84	,1	,3	
http://bf.win007.com/football/Over_20190126.htm	,http://op1.win007.com/oddslist/1549883.htm	,2019.01.27	,法甲	,甘冈	,兰斯	,2.30	,2.92	,2.85	,2.53	,2.86	,2.60	,平手/半球	,0.97	,0.91	,平手	,0.89	,1.01	,0	,0	
http://bf.win007.com/football/Over_20190125.htm	,http://op1.win007.com/oddslist/1561089.htm	,2019.01.26	,德甲	,柏林赫塔	,沙尔克04	,2.38	,3.15	,2.55	,2.40	,3.10	,2.56	,平手	,1.08	,0.80	,平手	,0.88	,1.03	,1	,0	
http://bf.win007.com/football/Over_20190122.htm	,http://op1.win007.com/oddslist/1655593.htm	,2019.01.23	,法国杯	,图卢兹	,兰斯	,2.22	,2.90	,3.00	,2.53	,2.75	,2.70	,平手/半球	,0.88	,1.00	,平手	,1.03	,0.85	,1	,3	
