当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200628.htm	,http://op1.win007.com/oddslist/1735200.htm	,2020.06.28	,德乙	,特雷斯登	,奥斯纳布鲁克	,2.30	,3.55	,2.35	,2.45	,3.45	,2.25	,平手	,0.93	,0.95	,受让平手/半球	,0.85	,1.05	,1	,3	
http://bf.win007.com/football/Over_20200628.htm	,http://op1.win007.com/oddslist/1872187.htm	,2020.06.28	,挪超	,莫达伦	,基斯迪辛特	,2.40	,3.05	,2.50	,2.46	,2.90	,2.55	,平手	,0.84	,1.04	,平手	,0.88	,1.02	,0	,0	
http://bf.win007.com/football/Over_20200628.htm	,http://op1.win007.com/oddslist/1872188.htm	,2020.06.28	,挪超	,桑德菲杰	,海于格松	,2.43	,3.05	,2.48	,2.50	,3.05	,2.40	,平手	,1.07	,0.81	,受让平手/半球	,0.97	,0.92	,0	,0	
http://bf.win007.com/football/Over_20200627.htm	,http://op1.win007.com/oddslist/1740838.htm	,2020.06.28	,西甲	,奥萨苏纳	,莱加内斯	,2.25	,2.65	,3.10	,2.62	,2.65	,2.62	,平手/半球	,0.93	,0.95	,平手	,0.85	,1.06	,3	,3	
http://bf.win007.com/football/Over_20200626.htm	,http://op1.win007.com/oddslist/1721283.htm	,2020.06.26	,俄超	,格罗兹尼特里克	,PFC索治	,2.34	,2.90	,2.70	,2.67	,2.90	,2.35	,平手/半球	,1.07	,0.81	,平手	,1.07	,0.83	,1	,3	
http://bf.win007.com/football/Over_20200624.htm	,http://op1.win007.com/oddslist/1740821.htm	,2020.06.25	,西甲	,阿拉维斯	,奥萨苏纳	,2.55	,2.60	,2.75	,2.64	,2.60	,2.64	,平手	,0.80	,1.08	,平手	,1.00	,0.90	,0	,0	
http://bf.win007.com/football/Over_20200624.htm	,http://op1.win007.com/oddslist/1745182.htm	,2020.06.25	,葡超	,唐迪拉	,费雷拉	,2.60	,2.57	,2.70	,2.64	,2.50	,2.74	,平手/半球	,1.09	,0.79	,平手	,1.08	,0.82	,0	,0	
http://bf.win007.com/football/Over_20200618.htm	,http://op1.win007.com/oddslist/1832013.htm	,2020.06.19	,瑞典超	,奥斯特桑斯	,天狼星	,2.10	,3.10	,2.90	,2.36	,3.05	,2.55	,半球	,0.94	,0.88	,平手	,0.82	,1.08	,0	,0	
http://bf.win007.com/football/Over_20200614.htm	,http://op1.win007.com/oddslist/1831411.htm	,2020.06.14	,韩K联	,光州FC	,釜山偶像	,2.43	,2.95	,2.55	,2.68	,2.75	,2.45	,平手	,0.80	,1.02	,受让平手/半球	,0.76	,1.16	,3	,0	
http://bf.win007.com/football/Over_20200609.htm	,http://op1.win007.com/oddslist/1745163.htm	,2020.06.10	,葡超	,吉维森特	,法马利卡奥	,2.52	,2.77	,2.59	,2.77	,2.77	,2.37	,平手/半球	,1.00	,0.88	,受让平手/半球	,0.78	,1.11	,0	,0	
http://bf.win007.com/football/Over_20200606.htm	,http://op1.win007.com/oddslist/1745160.htm	,2020.06.07	,葡超	,博阿维斯塔	,摩里伦斯	,2.35	,2.65	,2.95	,2.52	,2.65	,2.70	,平手/半球	,1.05	,0.77	,平手	,0.90	,0.99	,0	,0	
