当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20190531.htm	,http://op1.win007.com/oddslist/1656644.htm	,2019.06.01	,美职业	,温哥华白帽	,多伦多FC	,2.20	,3.38	,2.45	,2.30	,3.35	,2.35	,平手/半球	,0.85	,1.03	,平手	,1.06	,0.82	,1	,3	
http://bf.win007.com/football/Over_20190529.htm	,http://op1.win007.com/oddslist/1710766.htm	,2019.05.29	,世青杯	,意大利U20	,日本U20	,2.49	,2.50	,2.80	,2.94	,2.30	,2.60	,平手	,0.77	,1.05	,受让平手/半球	,0.70	,1.21	,1	,1	
http://bf.win007.com/football/Over_20190528.htm	,http://op1.win007.com/oddslist/1714901.htm	,2019.05.29	,荷乙	,格拉夫夏普	,鹿特丹斯巴达	,2.20	,3.45	,2.42	,2.36	,3.45	,2.25	,平手	,0.82	,1.06	,平手	,1.04	,0.86	,0	,0	
http://bf.win007.com/football/Over_20190525.htm	,http://op1.win007.com/oddslist/1662239.htm	,2019.05.25	,日职乙	,东京绿茵	,千叶市原	,2.32	,3.18	,2.42	,2.42	,3.18	,2.32	,平手	,0.88	,1.00	,平手	,1.09	,0.81	,1	,0	
http://bf.win007.com/football/Over_20190525.htm	,http://op1.win007.com/oddslist/1656617.htm	,2019.05.26	,美职业	,芝加哥火焰	,纽约城	,2.13	,3.28	,2.60	,2.28	,3.25	,2.42	,平手/半球	,1.06	,0.82	,平手/半球	,0.98	,0.91	,1	,3	
http://bf.win007.com/football/Over_20190525.htm	,http://op1.win007.com/oddslist/1656613.htm	,2019.05.26	,美职业	,辛辛那提	,纽约红牛	,2.25	,3.25	,2.46	,2.30	,3.25	,2.40	,平手	,0.93	,0.95	,平手/半球	,1.12	,0.79	,0	,0	
http://bf.win007.com/football/Over_20190524.htm	,http://op1.win007.com/oddslist/1714706.htm	,2019.05.24	,法乙	,特鲁瓦	,朗斯	,2.27	,2.80	,2.77	,2.43	,2.75	,2.60	,平手/半球	,1.03	,0.85	,平手	,1.02	,0.86	,1	,0	
http://bf.win007.com/football/Over_20190522.htm	,http://op1.win007.com/oddslist/1677442.htm	,2019.05.22	,日联杯	,磐田喜悦	,清水鼓动	,2.06	,3.35	,2.66	,2.30	,3.20	,2.43	,平手/半球	,0.96	,0.92	,平手	,1.02	,0.87	,0	,0	
http://bf.win007.com/football/Over_20190522.htm	,http://op1.win007.com/oddslist/1713489.htm	,2019.05.23	,南美超杯	,巴拉纳竞技	,河床	,2.39	,2.75	,2.65	,2.48	,2.70	,2.60	,平手/半球	,0.82	,1.06	,平手	,0.76	,1.16	,3	,3	
http://bf.win007.com/football/Over_20190521.htm	,http://op1.win007.com/oddslist/1714292.htm	,2019.05.22	,法乙	,巴黎足球会	,朗斯	,2.54	,2.55	,2.68	,2.78	,2.50	,2.50	,平手/半球	,1.05	,0.83	,平手	,1.05	,0.83	,1	,0	
http://bf.win007.com/football/Over_20190519.htm	,http://op1.win007.com/oddslist/1662225.htm	,2019.05.19	,日职乙	,德岛漩涡	,山形山神	,2.32	,2.92	,2.60	,2.55	,2.90	,2.37	,平手	,0.90	,0.98	,平手	,0.99	,0.91	,1	,3	
http://bf.win007.com/football/Over_20190519.htm	,http://op1.win007.com/oddslist/1662221.htm	,2019.05.19	,日职乙	,町田泽维亚	,京都不死鸟	,2.28	,2.95	,2.62	,2.38	,2.95	,2.50	,平手/半球	,1.08	,0.80	,平手	,0.96	,0.93	,1	,0	
http://bf.win007.com/football/Over_20190519.htm	,http://op1.win007.com/oddslist/1656554.htm	,2019.05.20	,美职业	,纽约红牛	,亚特兰大联	,2.18	,3.30	,2.52	,2.30	,3.25	,2.40	,平手/半球	,0.93	,0.95	,平手	,1.00	,0.89	,3	,3	
http://bf.win007.com/football/Over_20190518.htm	,http://op1.win007.com/oddslist/1676801.htm	,2019.05.19	,巴西甲	,米内罗竞技	,弗拉门戈	,2.42	,2.90	,2.50	,2.54	,2.90	,2.38	,平手/半球	,1.01	,0.81	,平手	,1.05	,0.85	,3	,3	
http://bf.win007.com/football/Over_20190514.htm	,http://op1.win007.com/oddslist/1709249.htm	,2019.05.15	,荷乙	,瓦尔韦克	,尼美根	,2.00	,3.75	,2.55	,2.18	,3.75	,2.31	,平手/半球	,0.99	,0.89	,平手/半球	,1.05	,0.85	,3	,3	
http://bf.win007.com/football/Over_20190512.htm	,http://op1.win007.com/oddslist/1562371.htm	,2019.05.12	,德乙	,杜伊斯堡	,海登海默	,2.22	,3.45	,2.40	,2.35	,3.45	,2.25	,受让平手/半球	,0.85	,1.03	,平手	,1.02	,0.88	,0	,0	
http://bf.win007.com/football/Over_20190511.htm	,http://op1.win007.com/oddslist/1661921.htm	,2019.05.11	,日职联	,大阪樱花	,横滨水手	,2.33	,3.25	,2.37	,2.37	,3.25	,2.33	,平手	,0.86	,1.02	,平手	,1.00	,0.90	,3	,3	
http://bf.win007.com/football/Over_20190511.htm	,http://op1.win007.com/oddslist/1662218.htm	,2019.05.11	,日职乙	,东京绿茵	,福冈黄蜂	,2.38	,2.92	,2.52	,2.42	,2.87	,2.52	,平手	,0.98	,0.90	,平手	,1.09	,0.81	,3	,3	
http://bf.win007.com/football/Over_20190511.htm	,http://op1.win007.com/oddslist/1676790.htm	,2019.05.12	,巴西甲	,科林蒂安	,格雷米奥	,2.28	,2.70	,2.85	,2.57	,2.70	,2.50	,平手/半球	,0.84	,0.98	,平手	,1.02	,0.88	,1	,1	
http://bf.win007.com/football/Over_20190510.htm	,http://op1.win007.com/oddslist/1554173.htm	,2019.05.11	,法乙	,奥兰斯	,贝兹尔	,2.23	,3.30	,2.46	,2.28	,3.30	,2.40	,平手	,1.03	,0.85	,平手/半球	,0.93	,0.95	,1	,1	
http://bf.win007.com/football/Over_20190510.htm	,http://op1.win007.com/oddslist/1554174.htm	,2019.05.11	,法乙	,瓦朗谢纳	,勒阿弗尔	,2.29	,3.30	,2.38	,2.30	,3.20	,2.43	,平手/半球	,1.03	,0.85	,平手	,0.88	,1.00	,3	,3	
http://bf.win007.com/football/Over_20190510.htm	,http://op1.win007.com/oddslist/1554170.htm	,2019.05.11	,法乙	,南锡	,梅斯	,2.13	,3.10	,2.72	,2.32	,3.10	,2.47	,平手	,0.83	,1.05	,平手	,0.99	,0.89	,3	,3	
http://bf.win007.com/football/Over_20190510.htm	,http://op1.win007.com/oddslist/1554172.htm	,2019.05.11	,法乙	,克莱蒙	,特鲁瓦	,2.26	,2.95	,2.65	,2.45	,2.92	,2.45	,受让平手/半球	,0.90	,0.98	,平手/半球	,0.95	,0.93	,0	,3	
http://bf.win007.com/football/Over_20190508.htm	,http://op1.win007.com/oddslist/1677427.htm	,2019.05.08	,日联杯	,大分三神	,神户胜利船	,2.05	,3.40	,2.65	,2.36	,3.40	,2.27	,平手/半球	,0.90	,0.98	,平手	,1.02	,0.88	,3	,0	
http://bf.win007.com/football/Over_20190508.htm	,http://op1.win007.com/oddslist/1677428.htm	,2019.05.08	,日联杯	,名古屋鲸八	,大阪樱花	,2.05	,3.35	,2.68	,2.60	,3.35	,2.10	,平手/半球	,0.90	,0.98	,受让平手/半球	,0.93	,0.97	,1	,0	
http://bf.win007.com/football/Over_20190507.htm	,http://op1.win007.com/oddslist/1676261.htm	,2019.05.08	,亚冠杯	,阿尔赖扬	,伊蒂哈德	,2.12	,3.45	,2.52	,2.57	,3.45	,2.08	,平手	,1.05	,0.83	,受让半球/一球	,1.08	,0.80	,0	,0	
http://bf.win007.com/football/Over_20190507.htm	,http://op1.win007.com/oddslist/1702617.htm	,2019.05.08	,欧冠杯	,利物浦	,巴塞罗那	,1.91	,3.60	,2.80	,2.40	,3.55	,2.18	,平手/半球	,0.79	,1.09	,平手	,0.91	,1.00	,3	,3	
http://bf.win007.com/football/Over_20190506.htm	,http://op1.win007.com/oddslist/1651540.htm	,2019.05.07	,挪超	,维京	,瓦勒伦加	,2.15	,3.25	,2.60	,2.42	,3.20	,2.31	,平手	,0.98	,0.90	,受让平手/半球	,0.76	,1.16	,1	,0	
http://bf.win007.com/football/Over_20190506.htm	,http://op1.win007.com/oddslist/1650469.htm	,2019.05.07	,瑞典超	,埃尔夫斯堡	,诺科平	,2.18	,3.35	,2.50	,2.24	,3.30	,2.44	,平手	,0.82	,1.06	,平手	,0.90	,1.00	,1	,1	
http://bf.win007.com/football/Over_20190505.htm	,http://op1.win007.com/oddslist/1662593.htm	,2019.05.05	,韩K联	,水原三星	,FC首尔	,2.17	,3.05	,2.70	,2.35	,3.05	,2.46	,平手	,0.90	,0.98	,平手	,0.94	,0.96	,1	,3	
http://bf.win007.com/football/Over_20190504.htm	,http://op1.win007.com/oddslist/1583548.htm	,2019.05.05	,西甲	,阿拉维斯	,皇家社会	,2.36	,2.95	,2.52	,2.47	,2.86	,2.47	,平手/半球	,1.03	,0.85	,平手	,0.97	,0.94	,0	,0	
http://bf.win007.com/football/Over_20190503.htm	,http://op1.win007.com/oddslist/1576366.htm	,2019.05.04	,葡超	,摩里伦斯	,里奥阿维	,2.08	,3.15	,2.78	,2.33	,3.10	,2.45	,平手/半球	,1.06	,0.82	,平手	,0.84	,1.06	,0	,0	
http://bf.win007.com/football/Over_20190501.htm	,http://op1.win007.com/oddslist/1676779.htm	,2019.05.02	,巴西甲	,福塔雷萨	,巴拉纳竞技	,2.36	,2.85	,2.60	,2.53	,2.85	,2.42	,平手	,1.03	,0.85	,受让平手/半球	,1.00	,0.90	,3	,3	
