当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200120.htm	,http://op1.win007.com/oddslist/1725484.htm	,2020.01.21	,荷乙	,乌德勒支青年队	,罗达JC	,2.18	,3.65	,2.45	,2.35	,3.60	,2.27	,平手/半球	,1.01	,0.81	,平手	,1.03	,0.85	,3	,0	
http://bf.win007.com/football/Over_20200117.htm	,http://op1.win007.com/oddslist/1740715.htm	,2020.01.18	,西甲	,莱加内斯	,赫塔菲	,2.60	,2.62	,2.65	,2.70	,2.58	,2.60	,平手	,0.93	,0.95	,平手	,0.93	,0.98	,0	,0	
http://bf.win007.com/football/Over_20200113.htm	,http://op1.win007.com/oddslist/1825898.htm	,2020.01.13	,亚青U23	,约旦U23	,越南U23	,2.50	,2.80	,2.60	,3.05	,2.85	,2.15	,平手	,0.85	,0.97	,受让平手/半球	,1.00	,0.82	,1	,1	
http://bf.win007.com/football/Over_20200112.htm	,http://op1.win007.com/oddslist/1721885.htm	,2020.01.12	,英超	,伯恩茅斯	,沃特福德	,2.34	,3.20	,2.47	,2.40	,3.10	,2.48	,平手	,0.84	,1.04	,平手	,0.84	,1.07	,0	,0	
http://bf.win007.com/football/Over_20200106.htm	,http://op1.win007.com/oddslist/1763573.htm	,2020.01.07	,意甲	,那不勒斯	,国际米兰	,2.08	,3.30	,2.80	,2.36	,3.30	,2.40	,平手	,0.89	,0.99	,平手	,0.89	,1.02	,0	,0	
http://bf.win007.com/football/Over_20200105.htm	,http://op1.win007.com/oddslist/1821264.htm	,2020.01.05	,英足总杯	,利物浦	,埃弗顿	,1.76	,3.55	,3.40	,2.72	,3.35	,2.10	,球半	,0.96	,0.92	,受让平手/半球	,1.06	,0.84	,3	,3	
