当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200530.htm	,http://op1.win007.com/oddslist/1734387.htm	,2020.05.30	,德甲	,沙尔克04	,云达不莱梅	,2.25	,3.10	,2.65	,2.38	,3.08	,2.50	,半球	,0.98	,0.90	,平手	,0.95	,0.96	,0	,0	
http://bf.win007.com/football/Over_20200527.htm	,http://op1.win007.com/oddslist/1735146.htm	,2020.05.28	,德乙	,圣保利	,海登海默	,2.30	,3.03	,2.65	,2.40	,2.95	,2.57	,平手	,0.88	,1.00	,平手	,0.82	,1.08	,1	,1	
http://bf.win007.com/football/Over_20200524.htm	,http://op1.win007.com/oddslist/1735135.htm	,2020.05.24	,德乙	,卡尔斯鲁厄	,波鸿	,2.32	,3.20	,2.50	,2.45	,2.95	,2.52	,平手	,0.85	,1.03	,平手	,0.84	,1.06	,1	,1	
http://bf.win007.com/football/Over_20200516.htm	,http://op1.win007.com/oddslist/1735124.htm	,2020.05.16	,德乙	,波鸿	,海登海默	,2.35	,3.08	,2.55	,2.52	,3.00	,2.42	,平手	,0.90	,0.98	,平手	,1.03	,0.87	,3	,3	
http://bf.win007.com/football/Over_20200516.htm	,http://op1.win007.com/oddslist/1735127.htm	,2020.05.16	,德乙	,卡尔斯鲁厄	,达姆斯塔特	,2.45	,3.00	,2.50	,2.55	,3.00	,2.40	,平手	,0.88	,1.00	,平手	,0.93	,0.96	,3	,3	
http://bf.win007.com/football/Over_20200503.htm	,http://op1.win007.com/oddslist/1745218.htm	,2020.07.15	,葡超	,摩里伦斯	,费雷拉	,2.47	,2.85	,2.65	,2.65	,2.85	,2.47	,平手	,0.83	,1.05	,受让平手/半球	,1.03	,0.87	,1	,3	
