当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200531.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1828571	,2020.06.01	,哥斯甲	,阿拉胡埃伦斯	,萨普里萨	,平手/半球	,平手/半球	,1.03/0.79	,2.5	,2.5/3	,0.93/0.87	,2/2.5	,0.79/1.01	,1	,4	,1	,1	
http://bf.win007.com/football/Over_20200530.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1740417	,2020.05.30	,德丙	,梅彭	,维尔茨堡踢球者	,平手	,平手/半球	,0.97/0.91	,2.5/3	,3	,1.06/0.80	,1.5	,1.04/0.82	,0	,3	,2	,1	
http://bf.win007.com/football/Over_20200529.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1732794	,2020.05.29	,塞尔超	,因吉亚	,萨博迪卡	,平手/半球	,受让平手/半球	,0.73/0.97	,2.5	,2.5/3	,0.70/1.00	,3/3.5	,0.87/0.93	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200529.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1735149	,2020.05.30	,德乙	,达姆斯塔特	,菲尔特	,平手/半球	,半球	,1.08/0.82	,2.5	,2.5/3	,1.00/0.88	,1.5	,1.00/0.87	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20200529.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1735157	,2020.05.30	,德乙	,奥斯纳布鲁克	,雷根斯堡	,平手/半球	,平手/半球	,0.96/0.93	,2.5	,2.5/3	,0.91/0.97	,3.5	,0.91/0.96	,2	,4	,0	,0	
http://bf.win007.com/football/Over_20200527.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1823573	,2020.05.28	,波兰杯	,史塔麦列克	,莱克普斯纳	,受让平手/半球	,受让半球	,0.84/1.04	,2.5	,2.5/3	,0.98/0.88	,4.5	,0.95/0.91	,3	,4	,1	,1	
http://bf.win007.com/football/Over_20200522.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1868655	,2020.05.22	,球会友谊	,拉那那夏普尔	,卡塔蒙耶路撒冷	,平手/半球	,平手/半球	,0.90/0.80	,2.5	,2.5/3	,0.77/0.93	,5	,1	,1	
http://bf.win007.com/football/Over_20200520.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1868573	,2020.05.20	,球会友谊	,依斯特拉	,HNK哥里卡	,受让平手/半球	,平手	,0.80/0.90	,2.5/3	,3	,0.85/0.85	,2.5	,0.80/0.90	,1	,4	,1	,1	
http://bf.win007.com/football/Over_20200520.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1861174	,2020.05.20	,白俄超	,比斯特迪纳摩	,鲍里索夫巴特	,受让平手/半球	,受让平手/半球	,0.91/0.85	,2.5	,2.5/3	,0.79/0.97	,3/3.5	,0.76/1.00	,2	,4	,1	,0	
http://bf.win007.com/football/Over_20200518.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1868373	,2020.05.19	,球会友谊	,尼坦耶马卡比	,比尔舒华夏普尔	,平手	,受让平手/半球	,0.82/0.88	,2.5	,2.5/3	,0.75/0.95	,大小球变化表没有时间和比分	
http://bf.win007.com/football/Over_20200514.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1867793	,2020.05.14	,球会友谊	,尼坦耶马卡比	,比达耶路撒冷	,受让平手/半球	,平手	,1.08/0.62	,2.5	,2.5/3	,1.00/0.70	,2	,0	,0	
http://bf.win007.com/football/Over_20200511.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1867792	,2020.05.11	,球会友谊	,阿舒多	,比尔舒华夏普尔	,受让平手/半球	,受让平手/半球	,0.87/0.83	,2.5/3	,3	,0.95/0.75	,3/3.5	,0.75/0.95	,2	,4	,0	,0	
http://bf.win007.com/football/Over_20200509.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1867538	,2020.05.09	,韩足总	,首尔联队	,忠州市民	,平手/半球	,平手	,0.81/0.89	,2.5	,2.5/3	,0.95/0.75	,6	,1	,1	
http://bf.win007.com/football/Over_20200503.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1866925	,2020.05.03	,白俄甲	,克鲁姆卡其	,高美尔	,平手/半球	,平手	,0.85/0.85	,2.5	,2.5/3	,0.88/0.82	,2.5	,0.92/0.78	,1	,2	,1	,0	
http://bf.win007.com/football/Over_20200503.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1763748	,2020.07.23	,意甲	,都灵	,维罗纳	,平手/半球	,平手	,0.82/1.09	,2.5	,2.5/3	,0.92/0.98	,1.5	,1.01/0.87	,0	,2	,0	,0	
http://bf.win007.com/football/Over_20200503.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1740856	,2020.07.07	,西甲	,莱万特	,皇家社会	,受让平手/半球	,受让半球	,0.90/1.00	,2.5	,2.5/3	,0.86/1.04	,3.5	,0.98/0.90	,2	,2	,0	,0	
