当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200229.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1784064	,2020.02.29	,澳洲甲	,墨尔本胜利	,阿德莱德联	,平手/半球	,半球	,0.96/0.93	,2.5/3	,3	,0.90/0.98	,2.5/3	,0.80/1.07	,1	,3	,1	,1	
http://bf.win007.com/football/Over_20200229.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1733644	,2020.02.29	,捷甲	,普日布拉姆	,博雷斯拉夫	,平手	,受让平手/半球	,0.86/1.02	,2.5	,2.5/3	,1.03/0.83	,1/1.5	,0.88/0.98	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200227.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1836938	,2020.02.27	,阿联酋超	,纳萨	,艾维赫达	,平手	,平手	,1.06/0.82	,2.5	,2.5/3	,1.03/0.83	,3	,0	,0	
http://bf.win007.com/football/Over_20200227.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1823701	,2020.02.28	,欧罗巴杯	,波尔图	,勒沃库森	,平手/半球	,平手/半球	,1.02/0.88	,2.5/3	,3	,1.01/0.87	,2.5/3	,0.99/0.88	,1	,4	,0	,0	
http://bf.win007.com/football/Over_20200227.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1823698	,2020.02.28	,欧罗巴杯	,LASK林茨	,艾克马亚	,平手/半球	,平手/半球	,0.90/0.99	,2.5	,2.5/3	,0.97/0.91	,2.5	,0.91/0.96	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200226.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1847016	,2020.02.27	,美冠杯	,蒙特利尔冲击	,萨普里萨	,平手/半球	,半球	,0.83/0.99	,2.5/3	,3	,0.93/0.87	,1/1.5	,0.95/0.85	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200223.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1833081	,2020.02.24	,智利甲	,奥达斯	,帕莱斯蒂诺	,平手	,平手/半球	,0.95/0.93	,2.5	,2.5/3	,0.98/0.88	,1/1.5	,0.86/1.00	,0	,1	,1	,1	
http://bf.win007.com/football/Over_20200222.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1740769	,2020.02.23	,西甲	,皇家社会	,巴伦西亚	,平手/半球	,半球/一球	,0.82/1.09	,2.5	,2.5/3	,0.84/1.06	,3.5	,0.85/1.03	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200221.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1837673	,2020.02.21	,沙地联	,费萨里哈曼	,伊蒂法克	,平手/半球	,平手/半球	,0.82/1.06	,2.5	,2.5/3	,0.92/0.94	,3	,0	,0	
http://bf.win007.com/football/Over_20200221.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1755836	,2020.02.22	,土超	,锡瓦斯体育	,阿兰亚斯堡	,平手/半球	,平手/半球	,0.96/0.93	,2.5	,2.5/3	,1.04/0.82	,2/2.5	,0.93/0.93	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200219.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1840879	,2020.02.19	,亚冠杯	,水原三星	,神户胜利船	,受让平手/半球	,受让平手/半球	,0.92/0.96	,2.5	,2.5/3	,0.91/0.95	,1/1.5	,0.80/1.06	,0	,1	,1	,1	
http://bf.win007.com/football/Over_20200216.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1844883	,2020.02.16	,日联杯	,大阪钢巴	,柏太阳神	,平手/半球	,平手	,0.86/1.02	,2.5	,2.5/3	,0.93/0.93	,2.5	,0.96/0.91	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200216.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727113	,2020.02.16	,瑞士超	,卢森	,圣加仑	,受让平手/半球	,受让平手/半球	,0.97/0.92	,2.5/3	,3	,0.80/1.07	,2.5/3	,1.00/0.86	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200216.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1827021	,2020.02.17	,墨西联	,桑托斯拉古纳	,泰格雷斯	,平手/半球	,半球	,0.97/0.92	,2.5	,2.5/3	,0.98/0.88	,2/2.5	,0.79/1.07	,1	,3	,1	,0	
http://bf.win007.com/football/Over_20200215.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1784055	,2020.02.15	,澳洲甲	,惠灵顿凤凰	,墨尔本城	,平手	,平手	,0.95/0.94	,2.5/3	,3	,0.91/0.97	,1.5	,0.90/0.97	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200215.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1784054	,2020.02.15	,澳洲甲	,西悉尼流浪者	,新城堡联队	,平手/半球	,平手/半球	,1.06/0.84	,2.5/3	,3	,0.95/0.93	,2.5/3	,1.00/0.87	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200215.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1729013	,2020.02.15	,英乙	,普利茅斯	,克鲁	,平手/半球	,平手	,0.88/1.00	,2.5	,2.5/3	,0.85/1.01	,1.5	,0.85/1.01	,0	,3	,0	,0	
http://bf.win007.com/football/Over_20200215.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1827019	,2020.02.16	,墨西联	,托卢卡	,普马斯	,平手/半球	,平手	,0.88/1.02	,2.5	,2.5/3	,0.93/0.93	,4/4.5	,0.84/1.02	,3	,5	,0	,0	
http://bf.win007.com/football/Over_20200214.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1837667	,2020.02.15	,沙地联	,瓦赫达麦加	,吉达阿赫利	,平手	,平手	,0.81/1.07	,2.5/3	,3	,1.01/0.85	,2.5/3	,0.85/1.01	,1	,2	,1	,1	
http://bf.win007.com/football/Over_20200212.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1840889	,2020.02.12	,亚冠杯	,全北现代	,横滨水手	,平手/半球	,平手/半球	,0.92/0.97	,2.5/3	,3	,1.01/0.86	,3.5/4	,0.90/0.96	,2	,3	,1	,0	
http://bf.win007.com/football/Over_20200212.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727909	,2020.02.13	,英冠	,布里斯托城	,德比郡	,平手/半球	,平手/半球	,1.12/0.79	,2.5	,2.5/3	,1.01/0.86	,3.5	,0.96/0.90	,2	,5	,1	,1	
http://bf.win007.com/football/Over_20200211.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1745550	,2020.02.12	,比乙	,奥德赫维里	,圣吉罗斯	,平手/半球	,受让平手/半球	,1.03/0.83	,2.5	,2.5/3	,0.82/1.02	,1.5	,0.95/0.89	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200211.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1762272	,2020.02.12	,英依超	,勒色赫	,基士多尼亚	,平手/半球	,平手/半球	,0.91/0.93	,2.5/3	,3	,0.98/0.84	,3.5/4	,0.94/0.88	,2	,2	,0	,0	
http://bf.win007.com/football/Over_20200211.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1843145	,2020.02.12	,墨西哥杯	,桑托斯拉古纳	,蒙特瑞	,平手/半球	,平手	,0.80/1.08	,2.5/3	,3	,1.01/0.85	,0	,0	,0	
http://bf.win007.com/football/Over_20200210.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1841270	,2020.02.10	,亚协杯	,阿尔科威特	,安萨尔	,平手/半球	,一球	,0.84/0.98	,2.5/3	,3	,0.96/0.84	,2/2.5	,0.84/0.96	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200210.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1740364	,2020.02.11	,德丙	,耶拿	,茨维考FC	,平手	,受让平手/半球	,0.78/1.11	,2.5	,2.5/3	,1.02/0.84	,2/2.5	,0.77/1.09	,1	,3	,1	,1	
http://bf.win007.com/football/Over_20200210.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1830665	,2020.02.11	,巴伯联	,累西腓航海	,达因加泽拉FC	,平手/半球	,平手	,1.05/0.65	,2.5	,2.5/3	,0.80/0.90	,1.5	,0.92/0.78	,0	,2	,0	,0	
http://bf.win007.com/football/Over_20200209.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1827009	,2020.02.09	,墨西联	,莱昂	,蒙特瑞	,平手	,平手/半球	,1.07/0.83	,2.5	,2.5/3	,0.84/1.02	,3.5	,0.81/1.05	,2	,4	,0	,0	
http://bf.win007.com/football/Over_20200209.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1841886	,2020.02.09	,球会友谊	,罗斯托夫	,莫斯科火车头	,受让平手/半球	,平手	,1.05/0.83	,2.5	,2.5/3	,0.93/0.93	,3/3.5	,0.80/1.06	,2	,6	,0	,0	
