当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200930.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872576	,2020.09.30	,日职联	,浦和红钻	,FC东京	,平手	,受让平手/半球	,1.08/0.82	,2.5	,2.5/3	,1.03/0.85	,2.5	,1.00/0.87	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200930.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1917693	,2020.10.01	,奥乙	,多恩比纳	,维也纳迅速青年队	,平手/半球	,平手/半球	,0.88/1.00	,2.5/3	,3	,1.05/0.81	,3.5/4	,0.99/0.87	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200929.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1896963	,2020.09.30	,丹麦甲	,阿玛盖尔	,埃斯比约	,受让平手/半球	,受让平手/半球	,0.84/1.04	,2.5/3	,3	,0.94/0.92	,4.5	,1.03/0.83	,3	,5	,1	,1	
http://bf.win007.com/football/Over_20200929.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1926507	,2020.09.30	,欧冠杯	,费伦茨瓦罗斯	,莫尔德	,平手/半球	,平手/半球	,1.11/0.78	,2.5/3	,3	,0.86/1.00	,1.5	,0.94/0.92	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200928.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1894871	,2020.09.29	,德乙	,柏德博恩	,汉堡	,平手	,受让平手/半球	,1.01/0.89	,2.5/3	,3	,1.03/0.85	,6.5/7	,0.93/0.94	,5	,7	,1	,1	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1930467	,2020.09.27	,韩K联	,釜山偶像	,江原FC	,平手	,受让平手/半球	,0.84/1.06	,2.5	,2.5/3	,0.92/0.95	,1/1.5	,0.95/0.91	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1873131	,2020.09.27	,日职乙	,东京绿茵	,北九州向日葵	,平手	,平手/半球	,0.92/0.97	,2.5	,2.5/3	,1.04/0.84	,2.5/3	,1.06/0.81	,1	,1	,0	,0	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1832387	,2020.09.27	,马来超	,沙巴	,马六甲	,受让平手/半球	,平手/半球	,0.96/0.74	,2.5	,2.5/3	,0.79/0.91	,大小球变化表没有时间和比分	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1921548	,2020.09.27	,瑞士超	,塞尔维特	,巴塞尔	,受让平手/半球	,平手	,1.03/0.87	,2.5/3	,3	,1.03/0.84	,1.5/2	,0.79/1.07	,0	,1	,1	,0	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1894563	,2020.09.27	,德甲	,弗赖堡	,沃尔夫斯堡	,平手	,平手	,1.08/0.83	,2.5	,2.5/3	,0.96/0.94	,3.5	,1.00/0.88	,2	,2	,0	,0	
http://bf.win007.com/football/Over_20200927.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1910581	,2020.09.27	,土超	,加拉塔萨雷	,费内巴切	,平手/半球	,平手/半球	,1.01/0.89	,2.5	,2.5/3	,0.88/0.98	,1.5	,0.95/0.91	,0	,0	,0	,0	
